iter	RMSE
0	176.3071997
1	172.6401649
2	170.7012802
3	168.218847
4	166.3591967
55	166.3455356
6	163.8909571
7	162.180878	157.4425758
9	155.9831278
10	154.7084601
11	153.3171966
12	151.9015944
13	150.6219529
14	149.1542066
15	148.0262894
16	146.6837541
17	145.7728074
18	144.623632
19	143.4870087
20	142.4341023
21	141.8001484
22	140.824258
23	139.9136703
24	139.1735747
25	138.3674039
26	137.5835626
27	136.8500228
28	136.2942018
29	135.7068457
30	135.0460685
331	136.6850029
32	136.0452308
33	135.2790105
34	134.7598675
35	134.2227516
36	133.4850485
37	37	130.5204596
38	129.9404962
39	129.4184783
40	128.8510817
41	128.3329182
42	127.8538843	129.7176555
44	129.1823557
45	128.7134448
46	128.2678782
47	127.7551158
48	127.4277667
49	127.0007358
50	126.5962666
51	126.2246724
52	125.6360027
53	125.3817657
54	125.006059
55	124.6346486
56	124.2216382
57	123.8112911
58	123.4749911
59	123.0152531
60	122.6775876
61	122.3716988
62	122.0455535
63	121.8540192
64	121.5982519
65	121.3635495
66	121.0802228
67	120.8689514
68	120.4613383
69	120.2009085
70	119.9122675
71	119.67803
72	119.4037555
73	119.1298067
7474	116.4276568
75	116.200595
76	115.8876043
77	115.7355381
78	115.4949801
79	115.2174729
80	115.0220724
81	114.7289589
82	114.462562
83	114.1918174
84	113.9348449
85	113.6365998
86	113.4164097
87	113.2696556
88	112.7958183
89	112.5923536
90	112.311741
91	112.0240012
92	111.6896155
93	111.4818903
94	111.227708
95	111.0313279
96	110.8282403
97	110.6440481
98	110.398616
99	110.1850186
100	109.9955723
101	109.8187529
102	109.5828754
103	109.3012123
104	109.1685354
105	108.8510389
106	108.7044935
107	108.4804448
108	108.2030931
109	107.9222008
110	107.715272
111	107.5585385
112	107.3617188
113	107.2400555
114	107.0259292
115	106.8183713
116	106.5959379
117	106.2558782
118	106.0343903
119	105.8241746
120	105.5876704
121	105.2386083
122	105.0198943
123	104.8491508
124	104.623934
125	104.42651126	107.6489861
127	107.4892665
128	107.3303255
129	107.1500082
130	107.009501
131	106.7928024
132	106.5333969
133	106.3698702
134	106.1794036
135	106.0177264
136	105.8681028
137	105.6277741
138	105.5251809
139	105.3845246
140	105.1707847
141	104.8326529
142	104.4931394
143	104.3652246
144	104.0773024
145	103.8493111
146	103.4876655
147	103.1961101
148	103.0811893
149	102.854259
150	102.6854039
151	102.5930574
152	102.3685258
153	102.2161426
154	101.9694503
155	101.7730434
156	101.5500184
157	101.3056686
158	101.0741184
159	100.9537709
160	100.7207034
161	100.6049072
162	100.4437323
163	100.1261125
164	99.91514601
165	99.71723704
166	99.44964067
167	99.24195896
168	98.99927974
169	98.87230958
170	98.69151794
171	98.5407176
172	98.47350903
173	98.36243801
174	98.22784223
175	98.0544639
176	97.98829321
177	97.9419348
178	97.72997466
179	97.41253924
180	97.15840002
181	97.06169342
182	96.91372017
183	96.73872024
184	96.52724539
185	96.37300084
186	96.29330169
187	96.15180969
188	95.91363489
189	95.85544592
190	95.76187327
191	95.50474109
192	95.25042869
193	95.02781249
194	94.95324826
195	94.7551643
196	94.64057851
197	94.42598052
198	94.36681978
199	94.19236702
200	94.13760824
201	93.9733411
202	93.80609323
203	93.63383668
204	93.39965267
205	93.36988463
206	93.18726046
207	92.97025999
208	92.789042
209	92.67151477
210	92.44349905
211	92.24778594
212	92.10650466
213	92.01714911
214	91.79611053
215	91.64483626
216	91.59591618
217	91.56528736
218	91.36861002
219	91.3285907
220	91.14836126
221	91.10523059
222	91.01770216
223	90.87927511
224	90.72569511
225	90.57526637
226	90.34455607
227	90.11167642
228	89.97283272
229	89.84422497
230	89.78358918
231	89.65324911
232	89.47830131
233	89.41366189
234	89.38256224
235	89.23181859
236	89.11925313
237	88.89616938
238	88.72244948
239	88.62671514
240	88.54868
241	88.48797426
242	88.34495998
243	88.21702991
244	88.11322359
245	87.96634496
246	87.82170542
247	87.76217069
248	87.62056362
249	87.58645609
250	87.48657664
251	87.45929996
252	87.36977755
253	87.35261719
254	87.20074884
255	87.03108314
256	87.00568956
257	86.98219778
258	86.83466001
259	86.69598447
260	86.58536737
261	86.48868854
262	86.4711181
263	86.45540634
264	86.43416062
265	86.41876185
266	86.368587
267	86.22596855
268	86.04682491
269	86.0215814
270	85.95102556
271	85.83976559
272	85.69822358
273	85.5706436
274	85.46182236
275	85.43216295
276	85.22973902
277	85.21382129
278	85.06192575
279	84.88467838
280	84.71884631
281	84.69603724
282	84.67721344
283	84.52399887
284	84.40999951
285	84.29586734
286	84.23884345
287	84.13992877
288	84.11836243
289	84.10777159
290	83.94516187
291	83.887095
292	83.87474222
293	83.71120165
294	83.62506259
295	83.56336056
296	83.54390769
297	83.41041399
298	83.24945641
299	83.20532641
7314
