iter	Passed	Remaining
0	8	2611
1	11	1702	2	13	13	12	906
4	20	1224
5	22	1094
6	25	1074
7	26	982
8	28	920
9	29	862
10	34	907
11	36	871
12	38	846
13	42	860
14	43	828
15	45	802
16	52	881
17	57	896
18	59	873
19	60	849
20	87	1166
21	104	1316
22	113	1360
23	114	1312
24	115	1275
25	26	136	1381
27	155	1506
28	156	1464
29	168	1518
30	169	1473
31	170	1431
32	172	1395
33	173	1356
34	174	1318
35	175	1288
36	177	1263
37	180	1243
38	182	1222
39	184	1201
41	304	1869
42	306	1828
43	319	1859
44	321	1821
45	332	1838
46	335	1806
47	337	1771
48	339	1737
49	340	1704
50	342	1673
51	344	1642
52	345	1612
53	347	1582
54	348	1553
55	349	1524
56	351	1497
57	352	147158	368	1503
59	369	1478
60	371	14559	364	1456
6062	394	1483
63	395	1458
64	396	1434
65	398	1411
66	399	1388
67	400	1370	431	1392
71	433	1371
72	434	1349
73	471	483	1532
72	485	1508
73	486	1485
74	487	1473	491	1499
74	492	1478
75	494	1456
76	495	1436
77	497	1415
78	498	1395
79	499	1374
80	500	1354
81	546	1452
82	555	1452
83	85	575	1430
86	580	1421
87	588	1417
88	614	1455
89	622	1451
90	640	1471
91	642	1451
92	643	1432
93	645	1413
94	646	1394
95	647	1376
96	649	1359
97	650	1341
98	652	1324
99	653	1307
100	654	1290
101	655	1273
102	657	101	700	1359
102	715	1369
103	719	1355
104	720	1337
105	721	1321
106	723	1304
107	724	1288
108	725	1272
109	727	1256
110	729	1242
111	731	1227
112	732	1212
113	733	1197
114	773	1243
115	811	1286
116	820	1282
117	845	1303
118	846	1287
119	847	1271
120	848	1255
121	850	1240
122	850	1224
123	851	1209
124	853	1194
125	854	1179
126	855	1165
127	856	1151
128	858	1137
129	859	1123
130	859	1109
131	860	1095
132	861	1081
133	862	1069
134	863	1055
135	864	1042
136	865	1030
137	867	1017
138	868	1006
139	869	993
140	870	981
141	871	969
142	872	957
143	873	946
144	874	934
145	875	923
146	876	912
147	877	901
148	878	890
149	880	880
150	881	869
151	881	858
152	882	847
153	883	837
154	884	827
155	885	817
156	886	807
157	888	798
158	888	788
159	890	778
160	891	769
161	891	759
162	892	750
163	893	741
164	894	732
165	895	722
166	896	713
167	897	705
168	898	696
169	900	688
170	901	679
171	902	671
172	903	662
173	904	654
174	905	646
175	905	638182	935	598
183	937	591
184	939	583
185	941	576
186	942	569
187	944	562
188	993	583
189	1004	581
190	1005	574
191	1007	566
192	1009	559
193	1011	552
194	1013	545
195	1014	538
196	1016	531
197	1059	545
198	1061	538
199	1063	531
200	1076	530
201	1089	528
202	1092	521
203	1096	516
204	1102	510
205	1103	503
206	1105	496
207	1106	489
208	1108	482
209	1110	475
210	1183	499
211	1185	492
212	1187	484
213	1195	480
214	1198	473
215	1200	466
216	1201	459
217	1220	458
218	1239	458
219	1269	461
220	1270	454
221	1271	446
222	1272	439
223	1273	432
224	1274	424
225	1275	417
226	1276	410
227	1276	403
228	1277	396
229	1278	389
230	1279	382
231	1280	375
232	1281	368
233	1282	361
234	1283	354
235	1284	348
236	1285	341
237	1286	335
238	1287	328
239	1288	322
240	1289	315
241	1290	309
242	1291	302
243	1291	296
244	1292	290
245	1293	283
246	1294	277
247	1295	271
248	1296	265
249	1297	259
250	1297	253
251	1298	247
252	1299	241
253	1300	235
254	1301	229
255	1302	223
256	1303	218
257	1303	212
258	1304	206
259	1305	200
260	1306	195
261	1309	189
262	1311	184
263	1314	179
264	1316	173
265	1317	168
266	1319	163
267	1331	158
268	1343	154
269	1346	149
270	1348	144
271	1354	139
272	1355	134
273	1355	128
274	1357	123
275	1358	118
276	1360	112
277	1361	107
278	1362	102
279	1364	97
280	1365	92
281	1366	87
282	1368	82
283	1368	7288	1382	52
289	1384	47
290	1385	42
291	1387	38
292	1388	33
293	1389	28
294	1391	23
295	1392	18
296	1393	14
292	1358	322293	1359	229294	1360	23
295	1361	18
296	1362	13
297	1363	9
298	1364	4
299	1365	0
6	1187	11
297	1190	7
298	1192	3
299	1193	0
