bulk_symbols,structure
Sb1 Pd1 O4,
Na4 Zn4 O6,"Full Formula (Na8 Zn8 O12)
Reduced Formula: Na2Zn2O3
abc   :   6.157177   6.157177   9.343174
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Na    0.746726  0.533699   0.646868        -0
  1  Na    0.966301  0.246726   0.396868        -0
  2  Na    0.466301  0.253274   0.853132        -0
  3  Na    0.253274  0.466301   0.146868        -0
  4  Na    0.033699  0.753274   0.896868        -0
  5  Na    0.753274  0.033699   0.103132        -0
  6  Na    0.533699  0.746726   0.353132        -0
  7  Na    0.246726  0.966301   0.603132        -0
  8  Zn    0.255305  0.456914   0.614277         0
  9  Zn    0.043086  0.755305   0.364277         0
 10  Zn    0.456914  0.255305   0.385723         0
 11  Zn    0.755305  0.043086   0.635723         0
 12  Zn    0.244695  0.956914   0.135723         0
 13  Zn    0.543086  0.744695   0.885723         0
 14  Zn    0.956914  0.244695   0.864277         0
 15  Zn    0.744695  0.543086   0.114277         0
 16  O     0.320718  0.679282   0.75             0
 17  O     0.242975  0.51341    0.405294        -0
 18  O     0.48659   0.757025   0.094706        -0
 19  O     0.757025  0.48659    0.905294        -0
 20  O     0.679282  0.320718   0.25             0
 21  O     0.98659   0.742975   0.155294        -0
 22  O     0.820718  0.820718   0.5              0
 23  O     0.51341   0.242975   0.594706        -0
 24  O     0.01341   0.257025   0.655294        -0
 25  O     0.257025  0.01341    0.344706        -0
 26  O     0.742975  0.98659    0.844706        -0
 27  O     0.179282  0.179282  -0                0"
Ba1 Re1 O3,"Full Formula (Ba1 Re1 O3)
Reduced Formula: BaReO3
abc   :   4.064732   4.064732   4.064732
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ba    0    0    0      -0
  1  Re    0.5  0.5  0.5     0.004
  2  O     0.5  0.5  0       0
  3  O     0.5  0    0.5     0
  4  O     0    0.5  0.5     0"
Fe1 Pd1 O4,
Zn2 O2,"Full Formula (Zn2 O2)
Reduced Formula: ZnO
abc   :   3.237351   3.237351   5.222061
angles:  90.000000  90.000000 119.999993
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.666667  0.333333  0.500592         0
  1  Zn    0.333333  0.666667  0.000592         0
  2  O     0.666667  0.333333  0.879718         0
  3  O     0.333333  0.666667  0.379718         0"
Ti2 Cu6 O8,"Full Formula (Ti1 Cu3 O4)
Reduced Formula: TiCu3O4
abc   :   2.997888   5.490126   5.973590
angles:  74.060893  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Ti    0.5  0         0.5          0.032
  1  Cu    0    0         0            0.018
  2  Cu    0.5  0.5       0            0.069
  3  Cu    0    0.5       0.5          0.549
  4  O     0.5  0.623723  0.675129     0.136
  5  O     0    0.067628  0.687284     0.011
  6  O     0.5  0.376277  0.324871     0.136
  7  O     0    0.932372  0.312716     0.011"
Cr16 Si8 O32,"Full Formula (Cr4 Si2 O8)
Reduced Formula: Cr2SiO4
abc   :   5.654506   5.686535   6.283147
angles:  77.075045 116.742665 119.819646
pbc   :       True       True       True
Sites (14)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Cr    0.529767   0.059377  0.750047     3.663
  1  Cr    0.779649   0.559119  0.250045     3.662
  2  Cr    0.220354   0.440878  0.749965     3.662
  3  Cr    0.47023   -0.059379  0.249948     3.663
  4  Si    0.874932   0.750037  0.749985     0.016
  5  Si    0.125065   0.249961  0.250014     0.016
  6  O     0.222394   0.955883  0.903065     0.02
  7  O     0.863488   0.54412   0.596945     0.02
  8  O     0.733241   0.955732  0.596841     0.02
  9  O     0.680557   0.544161  0.90309      0.02
 10  O     0.777609   0.044118  0.096932     0.02
 11  O     0.136511   0.45588   0.403057     0.02
 12  O     0.319445   0.455844  0.09691      0.02
 13  O     0.266759   0.044269  0.403156     0.02"
Zn6 Ge6 O18,"Full Formula (Zn2 Ge2 O6)
Reduced Formula: ZnGeO3
abc   :   5.524563   5.524563   5.524563
angles:  54.339879  54.339879  54.339879
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.631633  0.631633  0.631633        -0
  1  Zn    0.368367  0.368367  0.368367        -0
  2  Ge    0.843653  0.843653  0.843653         0
  3  Ge    0.156347  0.156347  0.156347         0
  4  O     0.560933  0.953628  0.214182         0
  5  O     0.953628  0.214182  0.560933         0
  6  O     0.214182  0.560933  0.953628         0
  7  O     0.439067  0.046372  0.785818         0
  8  O     0.785818  0.439067  0.046372         0
  9  O     0.046372  0.785818  0.439067         0"
Fe2 O2,"Full Formula (Fe4 O4)
Reduced Formula: FeO
abc   :   3.056680   5.158563   5.282245
angles:  80.189371  89.967491  72.814251
pbc   :       True       True       True
Sites (8)
  #  SP           a          b          c    magmom
---  ----  --------  ---------  ---------  --------
  0  Fe    0.473305  -0.000299   0.499884     3.656
  1  Fe    0.755105   0.499578   0.250297     3.671
  2  Fe    0.026888   0.000868  -0.000317     3.656
  3  Fe    0.244415   0.499736   0.750198     3.671
  4  O     0.852108   0.25002    0.634411     0.279
  5  O     0.398203   0.250162   0.134549     0.279
  6  O     0.107562   0.749977   0.365461     0.279
  7  O     0.642412   0.749959   0.865519     0.279"
Mn2 Se4 O12,"Full Formula (Mn2 Se4 O12)
Reduced Formula: Mn(SeO3)2
abc   :   5.074214   6.747196   7.269905
angles:  90.000000  91.017137  89.999971
pbc   :       True       True       True
Sites (18)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Mn     0.5       0.5        0.5          2.817
  1  Mn    -0         0         -0            2.817
  2  Se     0.515593  0.174484   0.19929      0.031
  3  Se     0.984407  0.674484   0.30071      0.031
  4  Se     0.015593  0.325516   0.699291     0.031
  5  Se     0.484407  0.825516   0.80071      0.031
  6  O      0.550988  0.58243    0.74625      0.004
  7  O      0.949012  0.08243    0.75375      0.004
  8  O      0.449012  0.41757    0.25375      0.004
  9  O      0.050988  0.91757    0.24625      0.004
 10  O      0.199041  0.77946    0.916904    -0.002
 11  O      0.30096   0.27946    0.583096    -0.002
 12  O      0.196169  0.660694   0.490623     0.014
 13  O      0.303832  0.160693   0.009376     0.014
 14  O      0.803832  0.339305   0.509377     0.014
 15  O      0.696168  0.839306   0.990624     0.014
 16  O      0.699041  0.72054    0.416904    -0.002
 17  O      0.800959  0.22054    0.083096    -0.002"
Ta6 Fe6 O24,"Full Formula (Ta4 Fe4 O16)
Reduced Formula: TaFeO4
abc   :   5.582006   8.993068   5.582009
angles:  86.067013  72.649627  86.067060
pbc   :       True       True       True
Sites (24)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ta    0.129532  0.37179   0.129526     0.022
  1  Ta    0.629532  0.871791  0.629528    -0.022
  2  Ta    0.506784  0.497463  0.506783     0.016
  3  Ta    0.00678   0.997463  0.006783    -0.016
  4  Fe    0.374954  0.130021  0.374958    -4.099
  5  Fe    0.247457  0.748994  0.247452    -4.103
  6  Fe    0.874955  0.630019  0.874958     4.099
  7  Fe    0.747458  0.248995  0.747453     4.103
  8  O     0.27794   0.523432  0.27794     -0.084
  9  O     0.777939  0.023432  0.777939     0.084
 10  O     0.804432  0.497188  0.198488     0.085
 11  O     0.304428  0.997186  0.698484    -0.085
 12  O     0.198485  0.497187  0.804432     0.085
 13  O     0.698483  0.997187  0.304428    -0.085
 14  O     0.975366  0.221034  0.975367     0.085
 15  O     0.475365  0.721035  0.475366    -0.085
 16  O     0.022411  0.7784    0.022411    -0.019
 17  O     0.522413  0.2784    0.522413     0.019
 18  O     0.546843  0.752903  0.945655     0.02
 19  O     0.046841  0.252903  0.445657    -0.02
 20  O     0.445656  0.252903  0.046843    -0.02
 21  O     0.945655  0.752902  0.546843     0.02
 22  O     0.720144  0.478688  0.720147     0.159
 23  O     0.220144  0.978687  0.220145    -0.159"
Y8 O12,"Full Formula (Y16 O24)
Reduced Formula: Y2O3
abc   :   9.186645   9.186645   9.186645
angles: 109.471223 109.471224 109.471213
pbc   :       True       True       True
Sites (40)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  Y      0.25       0.717456   0.467456        -0
  1  Y      0.032544   0.75       0.782544        -0
  2  Y      0.782544   0.032544   0.75            -0
  3  Y      0.467456   0.25       0.717456        -0
  4  Y      0.717456   0.467456   0.25            -0
  5  Y      0.75       0.782544   0.032544        -0
  6  Y      0.75       0.282544   0.532544        -0
  7  Y      0.967456   0.25       0.217456        -0
  8  Y      0.217456   0.967456   0.25            -0
  9  Y      0.532544   0.75       0.282544        -0
 10  Y      0.282544   0.532544   0.75            -0
 11  Y      0.25       0.217456   0.967456        -0
 12  Y     -0          0.5       -0               -0
 13  Y      0.5       -0         -0               -0
 14  Y     -0         -0          0.5             -0
 15  Y      0.5        0.5        0.5             -0
 16  O      0.031662   0.48915    0.760932         0
 17  O      0.22822    0.27073    0.739068         0
 18  O      0.27178    0.01085    0.042511         0
 19  O      0.22927    0.457489   0.468338         0
 20  O      0.457489   0.468338   0.22927          0
 21  O      0.760932   0.031662   0.48915          0
 22  O      0.27073    0.739068   0.22822          0
 23  O      0.042511   0.27178    0.01085          0
 24  O      0.48915    0.760932   0.031662         0
 25  O      0.739068   0.22822    0.27073          0
 26  O      0.01085    0.042511   0.27178          0
 27  O      0.468338   0.22927    0.457489         0
 28  O      0.968338   0.51085    0.239068         0
 29  O      0.77178    0.729269   0.260932         0
 30  O      0.72822    0.98915    0.957489         0
 31  O      0.770731   0.542511   0.531662         0
 32  O      0.531662   0.770731   0.542511         0
 33  O      0.98915    0.957489   0.72822          0
 34  O      0.260932   0.77178    0.729269         0
 35  O      0.51085    0.239068   0.968338         0
 36  O      0.957489   0.72822    0.98915          0
 37  O      0.729269   0.260932   0.77178          0
 38  O      0.239068   0.968338   0.51085          0
 39  O      0.542511   0.531662   0.770731         0"
Ca6 Pt9 O24,"Full Formula (Ca2 Pt3 O8)
Reduced Formula: Ca2Pt3O8
abc   :   6.263756   6.263755   6.263755
angles:  59.788147  59.788150  59.788149
pbc   :       True       True       True
Sites (13)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Ca    0.854867   0.854867  0.854867         0
  1  Ca    0.145133   0.145133  0.145133         0
  2  Pt    0.5       -0         0.5              0
  3  Pt    0          0.5       0.5              0
  4  Pt    0.5        0.5       0                0
  5  O     0.604365   0.604365  0.604365         0
  6  O     0.395635   0.395635  0.395635         0
  7  O     0.113258   0.113258  0.560039        -0
  8  O     0.113258   0.560039  0.113258        -0
  9  O     0.560039   0.113258  0.113258        -0
 10  O     0.886741   0.439961  0.886741        -0
 11  O     0.886741   0.886741  0.439961        -0
 12  O     0.439961   0.886741  0.886741        -0"
Fe4 Se4 O16,"Full Formula (Fe4 Se4 O16)
Reduced Formula: FeSeO4
abc   :   5.063941   9.399745   6.738190
angles:  89.998145  90.001235  96.947469
pbc   :       True       True       True
Sites (24)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Fe    0.49983   0.499905  0.000104    -3.776
  1  Fe    0.999846  0.999957  0.499938    -3.776
  2  Fe    0.000163  3.1e-05   0.999986     3.776
  3  Fe    0.500185  0.500015  0.500059     3.776
  4  Se    0.523029  0.174306  0.250017     0
  5  Se    0.02296   0.6743    0.249896     0
  6  Se    0.976967  0.325695  0.750019    -0
  7  Se    0.477044  0.8257    0.750062    -0
  8  O     0.575835  0.356523  0.249924    -0
  9  O     0.075785  0.856505  0.250062     0
 10  O     0.677501  0.39045   0.750059     0
 11  O     0.177582  0.890456  0.74993      0
 12  O     0.822535  0.1096    0.249962    -0
 13  O     0.322403  0.609553  0.250024    -0
 14  O     0.924158  0.143483  0.750084    -0
 15  O     0.424171  0.643494  0.749922    -0
 16  O     0.364611  0.12149   0.042327     0.014
 17  O     0.864522  0.621542  0.042281    -0.013
 18  O     0.364636  0.121533  0.457785    -0.013
 19  O     0.864455  0.621448  0.457694     0.014
 20  O     0.13542   0.378502  0.542264     0.013
 21  O     0.635536  0.87851   0.542239    -0.014
 22  O     0.135369  0.378507  0.957688    -0.014
 23  O     0.635457  0.878495  0.957671     0.013"
Sr1 Cr1 O2,"Full Formula (Sr2 Cr2 O4)
Reduced Formula: SrCrO2
abc   :   5.339614   5.339395   5.339398
angles:  98.950942 114.972610 114.972884
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.499998  0.250001  0.749998     0
  1  Sr    0.499998  0.75      0.249996     0
  2  Cr    0.999991  0.499997  0.499995    -3.565
  3  Cr    0.999993  0.999992  0.999999     3.565
  4  O     8e-06     0.250002  0.750007     0
  5  O     0.999989  0.750004  0.249994     0
  6  O     0.500018  0.750007  0.75001      0
  7  O     0.500004  0.249997  0.250002     0"
Rb8 Mo4 O16,"Full Formula (Rb4 Mo2 O8)
Reduced Formula: Rb2MoO4
abc   :   6.223403   7.129560   7.864559
angles: 113.112209  90.000000 115.877643
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Rb    0.8453    0.690599  0.253471        -0
  1  Rb    0.154701  0.309401  0.746529        -0
  2  Rb    0.488002  0.976004  0.761928         0
  3  Rb    0.511998  0.023995  0.238073         0
  4  Mo    0.175126  0.350252  0.22322          0
  5  Mo    0.824875  0.649749  0.77678          0
  6  O     0.373782  0.284044  0.079187         0
  7  O     0.089738  0.715956  0.920813         0
  8  O     0.626218  0.715956  0.920813         0
  9  O     0.910262  0.284044  0.079187         0
 10  O     0.673678  0.347354  0.628301         0
 11  O     0.326323  0.652647  0.371698         0
 12  O     0.092639  0.185277  0.354624        -0
 13  O     0.907361  0.814722  0.645375        -0"
