sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
43689,-300.44808065,mp-1222981,Li2Sn1O4,"(1, 3, -1)",414325470_Li2SnO4_mp-1222981_clean_eJYyuhXjsZ,,,0
33078,-210.86054554,mp-996990,Ba1Ag1O2,"(1, 0, 2)",BaAgO2_mp-996990_clean_OPDgedeYUp,,,0
81187,-340.07016712,CuSnO4-rutile,Cu1Sn1O4,"(3, 2, 2)",CuSnO4_CuSnO4-rutile_clean_Ts2VWsYXZR,,,0
83002,-481.94116398,CoRhO4-rutile,Co1Rh1O4,"(1, 0, 1)",1012688_CoRhO4_CoRhO4-rutile_clean_DHvXCOtb4l,,,0
20144,-403.23844963,mvc-8139,Ge8Bi4O24,"(1, 0, 0)",Ge2BiO6_mvc-8139_clean_5EVBa0GuNv,,,0
13588,-555.24138874,mvc-10485,Zn2Bi8O18,"(0, 2, 1)",ZnBi4O9_mvc-10485_clean_CuVskMTSdz,,,0
24472,-479.92472157,mp-1238961,Ta2O5,"(1, 1, 0)",Ta2O5_mp-1238961_clean_PxWKsq8kRE,,,0
11767,-289.07740582,mp-2229,Zn4O4,"(3, 1, 0)",ZnO_mp-2229_clean_JuF6FQ2lym,,,0
35880,-431.29689723,mp-759178,Zn4Ni6O10,"(2, 2, -1)",Zn2Ni3O5_mp-759178_clean_Gmv7BkWoWn,,,0
24039,-316.85027332,mp-753357,Sr1Bi5O9,"(1, 2, 0)",SrBi5O9_mp-753357_clean_WBadJK7jZc,,,0
37712,-192.76678238,mp-2472,Sr4O4,"(3, 1, 0)",SrO_mp-2472_clean_yBl3x8nbgu,,,0
32600,-792.11275985,mp-760396,Ta4Al4O16,"(1, 1, 0)",TaAlO4_mp-760396_clean_EnCYUgyfDR,,,0
72375,-547.93180132,mp-656884,Ni9O10,"(0, 2, -1)",Ni9O10_mp-656884_clean_Fo2Sq74oB2,,,0
82946,-372.12477178,CoRhO4-rutile,Co1Rh1O4,"(1, 1, 1)",1031661_CoRhO4_CoRhO4-rutile_clean_OOyrGS4Us4,,,0
23425,-429.6852978,mp-753357,Sr1Bi5O9,"(2, 2, -1)",SrBi5O9_mp-753357_clean_ntNSbO4Fx7,,,0
72839,-819.72568986,mp-1215686,Zn2Ni8O10,"(2, 1, 3)",ZnNi4O5_mp-1215686_clean_47MwWrk6Qi,,,0
23372,-596.51277792,mp-29799,K12Bi12O36,"(1, 1, 1)",KBiO3_mp-29799_clean_0sxV5i2jZV,,,0
7650,-447.52432987,TlRhO4-rutile,Tl1Rh1O4,"(1, 1, 2)",TlRhO4_TlRhO4-rutile_clean_7uw8Gizf8A,,,0
80178,-473.33845794,mp-25279,V4O10,"(1, 2, 3)",V2O5_mp-25279_clean_CRDIcJdDgL,,,0
13702,-349.89364996,mvc-8098,Ge8Sb4O24,"(1, 0, -1)",Ge2SbO6_mvc-8098_clean_LBAubhQU5N,,,0
71438,-874.79119327,mp-1202223,W10O30,"(1, 0, 0)",WO3_mp-1202223_clean_ndcbBHy7h0,,,0
38713,-411.68781914,mvc-2142,Zn2W4O12,"(0, 1, 0)",Zn-WO3-2_mvc-2142_clean_GuGsP7QegW,,,0
21587,-441.49494894,mp-754596,Rb8Ga8O16,"(1, 1, 1)",RbGaO2_mp-754596_clean_JeK2Tdk2bJ,,,0
39217,-366.61470502,mp-19190,Sr4Ni4O8,"(1, 3, 3)",SrNiO2_mp-19190_clean_S5FX8YW1x4,,,0
39438,-343.08614091,mp-27559,Na14Cd2O9,"(0, 0, 1)",Na14Cd2O9_mp-27559_clean_RV48p6OjET,,,0
2521,-599.2164046,mp-558603,K4Si8O18,"(1, 0, 1)",K2Si4O9_mp-558603_clean_wnHMYVcXyN,,,0
15510,-753.93559288,mp-755634,Y16Hg8O32,"(1, 1, 0)",Y2HgO4_mp-755634_clean_ZQhXqOh0RQ,,,0
70328,-993.77917832,mp-23456,Cr8Bi8O24,"(0, 1, 1)",CrBiO3_mp-23456_clean_eAqidycPhr,,,0
82274,-503.2091902,PdPtO4-rutile,Pd1Pt1O4,"(2, 1, 0)",1020269_PdPtO4_PdPtO4-rutile_clean_me5eBWgmWJ,,,0
8580,-506.41742428,mp-997054,Cu2Bi2O4,"(0, 0, 1)",CuBiO2_mp-997054_clean_d3G02LUx0Q,,,0
74841,-788.01495077,mp-1215738,Zn2Ni8O10,"(1, 1, 3)",ZnNi4O5_mp-1215738_clean_kl6deXFahw,,,0
21657,-271.90084755,mp-7608,Li4Pd2O4,"(1, 1, 0)",Li2PdO2_mp-7608_clean_YNnsYYwC8x,,,0
71421,-692.8538983,mp-771359,Cu32O48,"(1, 0, 0)",Cu2O3_mp-771359_clean_B3YI1rDcGn,,,0
6708,-359.33532634,mp-1176463,Mn12Nb4O32,"(0, 1, 0)",Mn3NbO8_mp-1176463_clean_Srr1mlYdfY,,,0
16096,-685.56763677,mp-1147,Ti12O20,"(0, 1, 0)",Ti3O5_mp-1147_clean_6iKvj4Q0Be,,,0
80675,-631.33743074,PdAuO4-rutile,Pd1Au1O4,"(1, 0, 0)",PdAuO4_PdAuO4-rutile_clean_uwtXi8hs7q,,,0
25970,-790.06759158,mp-19509,Sr4V40O60,"(1, 0, 0)",SrV10O15_mp-19509_clean_0RdoqGxEh6,,,0
10213,-780.92178337,mp-849263,Na4V40O60,"(1, 0, 0)",NaV10O15_mp-849263_clean_k7f638cRzt,,,0
44439,-417.55456442,mp-19178,Co2Ag2O4,"(3, -1, 3)",123212059559_CoAgO2_mp-19178_clean_9o0xyaKvLm,,,0
34619,-390.55333202,mp-1227022,Ca2Zn6O8,"(2, 1, -2)",CaZn3O4_mp-1227022_clean_pG1FZJpJ5o,,,0
28341,-265.52768472,mp-10444,Ca8Al8O20,"(1, 0, 1)",Ca2Al2O5_mp-10444_clean_eMmlWItRoF,,,0
26434,-432.74356097,mp-31488,Li24Nb8O32,"(1, 1, 0)",Li3NbO4_mp-31488_clean_O5DlpZAK8l,,,0
85388,-467.71038428,mp-1016851,Hg1Ru1O3,"(1, 0, 0)",HgRuO3_mp-1016851_clean_FiZfOSOimL,,,0
85296,-448.50200604,mp-23018,Bi4Sb4O16,"(2, 2, -1)",BiSbO4_mp-23018_clean_FupwzE9nfB,,,0
30178,-320.92734858,mp-772052,Cd2Se2O8,"(1, 0, 0)",CdSeO4_mp-772052_clean_SaCnpfoCaC,,,0
25600,-509.64839637,GaPdO4-rutile,Ga1Pd1O4,"(1, 0, 1)",GaPdO4_GaPdO4-rutile_clean_cOtzyfEEXX,,,0
28479,-780.92690953,mp-849263,Na4V40O60,"(1, 0, 0)",NaV10O15_mp-849263_clean_IQeOdUM4Qc,,,0
43238,-775.37866098,mp-1040467,Rb1Os1O3,"(3, 1, 0)",634070213497_RbOsO3_mp-1040467_clean_Lq1UEti6e3,,,0
322,-468.67957112,mvc-8362,V4Ge8O24,"(0, 1, 0)",V-GeO3-2_mvc-8362_clean_C5lXYdmpB1,,,0
85513,-751.76827312,TiRuO4-rutile,Ti1Ru1O4,"(1, 1, 2)",TiRuO4_TiRuO4-rutile_clean_EyfIYqp6MF,,,0
25498,-341.56279106,mp-27253,Au16O24,"(0, 0, 1)",Au2O3_mp-27253_clean_CUndBsPdp2,,,0
80473,-435.4301033,mp-29260,Ti2Se4O12,"(1, 1, 1)",Ti-SeO3-2_mp-29260_clean_GXxzq7ebMG,,,0
21804,-417.32592421,mp-557993,Bi8O16,"(1, 0, -1)",BiO2_mp-557993_clean_Ybx1E1IxUc,,,0
17774,-444.05364687,mp-677054,Ag12Sb12O36,"(0, 1, 0)",AgSbO3_mp-677054_clean_9dR4TmeBry,,,0
85872,-411.37971507,mp-20496,Ga8Pb4O16,"(1, 0, 1)",Ga2PbO4_mp-20496_clean_ycvjmazOxi,,,0
13198,-297.51439471,mp-1540145,Ca4Cu8O16,"(1, 0, 0)",Ca-CuO2-2_mp-1540145_clean_PpP7SWwsyi,,,0
20140,-371.20131187,mp-756361,Zr4Se4O4,"(2, 1, 1)",ZrSeO_mp-756361_clean_jN7GJJMRWw,,,0
38505,-493.8860263,mp-5769,Li6Sb2O8,"(1, 2, 0)",Li3SbO4_mp-5769_clean_K2SGjmnCpE,,,0
84728,-622.3825403,mp-5146,Zn8Rh16O32,"(1, 1, 0)",Zn-RhO2-2_mp-5146_clean_M1KFzOvOZE,,,0
15746,-347.02758686,mp-7237,Cu2Ag2O4,"(1, 0, 0)",CuAgO2_mp-7237_clean_r6XOEeghAq,,,0
39301,-196.23814061,mp-997052,Rb4Ag4O8,"(0, 1, 1)",RbAgO2_mp-997052_clean_3MZhsEGcgh,,,0
11485,-634.40618612,mvc-4135,Al8Cu16O32,"(1, 0, 0)",Al-CuO2-2_mvc-4135_clean_MYIXN13Gjs,,,0
7385,-634.40783476,mvc-4135,Al8Cu16O32,"(1, 0, 0)",Al-CuO2-2_mvc-4135_clean_24GydnkTbB,,,0
24484,-770.26676722,mp-27624,Ca2V4O12,"(2, 1, -2)",CaV2O6_mp-27624_clean_F9VOsLp7tL,,,0
33469,-677.32916669,mp-1193602,Ca6Rh6O18,"(1, 1, -2)",CaRhO3_mp-1193602_clean_TVSuC42Wz2,,,0
43266,-445.75727129,BiTeO4-rutile,Bi1Te1O4,"(1, 1, 2)",90423983534_BiTeO4_BiTeO4-rutile_clean_xOlTQkTmS0,,,0
29872,-571.90853094,mp-16882,Zn6Mo6O24,"(1, 0, 1)",ZnMoO4_mp-16882_clean_PdYDMvw2Ow,,,0
21141,-417.70811143,CoAsO4-rutile,Co1As1O4,"(2, -1, 3)",CoAsO4_CoAsO4-rutile_clean_mnBMxrp016,,,0
76097,-374.52015414,mp-1016829,Mg1Ru1O3,"(1, 1, 1)",MgRuO3_mp-1016829_clean_nsdaeeSD0e,,,0
29516,-599.84327406,mp-752445,Ti4V8O28,"(1, 0, 0)",TiV2O7_mp-752445_clean_uKnEucKTuK,,,0
44890,-356.92783975,mp-676861,Al2Sb2O8,"(0, 2, 1)",51024953_AlSbO4_mp-676861_clean_Bf74USp3wD,,,0
71491,-616.60082719,mp-752462,Cr2Co4O12,"(2, 1, -2)",Cr-CoO3-2_mp-752462_clean_ecAphaoTLy,,,0
18880,-591.18802179,mp-9600,Cu8Ge4O16,"(1, 1, 0)",Cu2GeO4_mp-9600_clean_Y8OxV4ymTK,,,0
2650,-405.84929056,MoAuO4-rutile,Mo1Au1O4,"(2, 1, 3)",MoAuO4_MoAuO4-rutile_clean_4izCRW0Ml8,,,0
79317,-420.11930178,HgTeO4-rutile,Hg1Te1O4,"(2, 1, 0)",HgTeO4_HgTeO4-rutile_clean_WG3T45WdMq,,,0
899,-281.37539942,mp-4405,Rb3Au1O1,"(3, 2, 0)",Rb3AuO_mp-4405_clean_CEcq64Urfo,,,0
14468,-307.54005427,mp-18996,Tl2V6O16,"(0, 0, 1)",TlV3O8_mp-18996_clean_BAAUdvTY4D,,,0
80460,-349.52947207,SnBiO4-rutile,Sn1Bi1O4,"(2, 0, 1)",SnBiO4_SnBiO4-rutile_clean_2mHIBkgEEv,,,0
30457,-757.74544864,mp-28403,Ba8W4O20,"(2, 1, 0)",Ba2WO5_mp-28403_clean_IbNJAJMTei,,,0
79488,-461.09534629,CuRuO4-rutile,Cu1Ru1O4,"(3, 3, 1)",CuRuO4_CuRuO4-rutile_clean_iTlcWbEq48,,,0
79662,-876.67820358,mp-1188011,Zr1Be1O3,"(1, 1, 1)",ZrBeO3_mp-1188011_clean_D46JrE20fI,,,0
33300,-577.93682191,mp-757115,K4Sb20O52,"(1, 0, 1)",KSb5O13_mp-757115_clean_lvyYgqTpXb,,,0
80176,-784.44013354,mp-28075,K4Ti4O10,"(0, 1, 2)",K2Ti2O5_mp-28075_clean_Hshgu4rQ1D,,,0
27794,-432.74433152,BiIrO4-rutile,Bi1Ir1O4,"(2, 1, 3)",BiIrO4_BiIrO4-rutile_clean_RmUP9WbEAL,,,0
37528,-601.80521147,mp-28670,Ba4Bi4O10,"(2, 1, -1)",Ba2Bi2O5_mp-28670_clean_eUPNOiZOYY,,,0
32961,-750.54374297,mp-754739,Ca2Be6O8,"(3, -1, 0)",CaBe3O4_mp-754739_clean_3XBk6zS44g,,,0
11181,-237.86705675,mvc-13015,Cu6Sn8O24,"(1, 1, 0)",Cu3-SnO3-4_mvc-13015_clean_nDJmUBd0vT,,,0
74012,-618.25625625,mp-766450,Ni12O14,"(1, -1, -1)",Ni6O7_mp-766450_clean_k0hbo8kjXy,,,0
21634,-348.25688951,mp-754978,Cd2Cu4O6,"(1, 1, 1)",CdCu2O3_mp-754978_clean_zMmsI1R8yo,,,0
745,-396.35458558,mp-3427,Li4Al4O8,"(1, 0, 1)",LiAlO2_mp-3427_clean_n0deEzEo9i,,,0
32349,-157.86265294,mp-971,K8O4,"(1, 0, 0)",K2O_mp-971_clean_lrH9uj0w7L,,,0
2878,-455.75122835,mvc-8362,V4Ge8O24,"(0, 1, 0)",V-GeO3-2_mvc-8362_clean_xvDMGQB5hk,,,0
15832,-531.00349146,mp-756930,Ba4Ca4O8,"(2, 1, 0)",BaCaO2_mp-756930_clean_MWqAPeYB0g,,,0
69467,-826.0857576,mp-1215738,Zn2Ni8O10,"(1, 1, 3)",ZnNi4O5_mp-1215738_clean_4IcUNgaeGc,,,0
20063,-1068.0627357,mp-777514,Y8O12,"(0, 1, 2)",Y2O3_mp-777514_clean_Rbpey5cPF7,,,0
76734,-307.62234274,mp-752538,K4Sn4O8,"(1, -2, 0)",KSnO2_mp-752538_clean_MRoB8rfNbS,,,0
