bulk_id,bulk_symbols,y_relaxed,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,transition metal fraction,band center,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO
SbPdO4-rutile,Sb1 Pd1 O4,-531.04377012,8.0,51.0,43.0,21.5,18.0,8.0,62.0,87.0,25.0,82.5,6.833333333333333,87.0,15.9994,121.76,105.76060000000001,48.696266666666666,43.59582222222222,15.9994,54.8,1828.05,1773.25,491.8383333333333,582.7177777777778,54.8,10.0,16.0,6.0,14.833333333333334,1.6111111111111107,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,139.0,73.0,90.33333333333333,32.44444444444444,66.0,2.05,3.44,1.3900000000000001,3.0016666666666665,0.5844444444444444,3.44,0.0,2.0,2.0,1.6666666666666667,0.5555555555555555,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,8.166666666666666,2.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,9.105,31.56,22.455,13.731666666666667,6.1688888888888895,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,73.16666666666667,81.55555555555556,12.0,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,1.6666666666666667,3.1666666666666665,3.3333333333333335,0.0,0.20408163265306126,0.3877551020408163,0.4081632653061225,0.0,0.16666666666666666,6.416770436454205,p,Sb,-0.185623,p,Sb,-0.185623,0.0
mp-8086,Na4 Zn4 O6,-135.37888628,8.0,30.0,22.0,15.142857142857142,8.489795918367347,8.0,2.0,87.0,85.0,57.57142857142857,31.755102040816325,87.0,15.9994,65.38,49.380599999999994,32.10539122285714,19.014062158367345,15.9994,54.8,692.68,637.88,327.35714285714283,233.6204081632653,54.8,1.0,16.0,15.0,10.571428571428571,5.469387755102041,16.0,2.0,4.0,2.0,2.857142857142857,0.7346938775510203,2.0,66.0,166.0,100.0,110.57142857142857,38.204081632653065,66.0,0.93,3.44,2.51,2.2114285714285713,1.0530612244897959,3.44,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,1.7142857142857142,1.9591836734693877,4.0,0.0,10.0,10.0,2.857142857142857,4.081632653061225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,6.285714285714286,3.2653061224489797,6.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,2.0,2.0,0.8571428571428571,0.9795918367346939,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.1428571428571428,0.7346938775510203,2.0,9.105,29.2433333333,20.1383333333,16.245952380942857,7.427074829918367,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,126.0,97.71428571428571,12.0,3,0.5890150893739514,0.5004854371981035,0.44908612273275067,0.4354026086224704,0.4300351434659748,1.7142857142857142,1.7142857142857142,2.857142857142857,0.0,0.2727272727272727,0.2727272727272727,0.4545454545454546,0.0,0.0,4.9845468868930904,p,O,-0.338381,s,Zn,-0.222725,0.11565599999999998
mp-1183298,Ba1 Re1 O3,-538.65212121,8.0,75.0,67.0,31.0,27.6,8.0,9.0,87.0,78.0,64.8,26.639999999999997,87.0,15.9994,186.207,170.20759999999999,74.30644,69.968448,15.9994,54.8,3459.0,3404.2,924.68,1043.8560000000002,54.8,2.0,16.0,14.0,11.4,5.5200000000000005,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,215.0,149.0,112.8,56.15999999999999,66.0,0.89,3.44,2.55,2.622,0.9815999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,2.0,21.0,19.0,8.2,5.119999999999999,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,9.105,63.59,54.485,21.112000000000002,16.9912,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,2.0,2.4,1.0,2.8,0.24390243902439027,0.29268292682926833,0.12195121951219513,0.34146341463414637,0.2,5.4039308669098,d,Re,-0.258639,d,Re,-0.258639,0.0
FePdO4-rutile,Fe1 Pd1 O4,-387.0218548,8.0,46.0,38.0,17.333333333333332,12.444444444444443,8.0,55.0,87.0,32.0,77.5,12.666666666666666,87.0,15.9994,106.42,90.42060000000001,37.710433333333334,28.948044444444445,15.9994,54.8,1828.05,1773.25,643.0416666666666,784.3222222222222,54.8,8.0,16.0,8.0,13.666666666666666,3.111111111111111,16.0,2.0,5.0,3.0,2.8333333333333335,1.1111111111111112,2.0,66.0,139.0,73.0,89.16666666666667,30.88888888888889,66.0,1.83,3.44,1.6099999999999999,2.965,0.6333333333333333,3.44,0.0,2.0,2.0,1.6666666666666667,0.5555555555555555,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,10.0,10.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,7.0,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,4.0,4.0,0.6666666666666666,1.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.6666666666666666,2.0,9.105,14.41,5.305,10.26,1.5399999999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.3517771333333333,0.5862952222222222,0.0,12.0,229.0,217.0,83.66666666666667,95.55555555555554,12.0,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,1.6666666666666667,2.6666666666666665,2.6666666666666665,0.0,0.2380952380952381,0.38095238095238093,0.38095238095238093,0.0,0.3333333333333333,6.22099224845083,d,Fe,-0.295049,s,Fe,-0.197978,0.09707100000000002
mp-2133,Zn2 O2,-193.57204912,8.0,30.0,22.0,19.0,11.0,8.0,69.0,87.0,18.0,78.0,9.0,69.0,15.9994,65.38,49.380599999999994,40.689699999999995,24.690299999999997,15.9994,54.8,692.68,637.88,373.73999999999995,318.93999999999994,54.8,12.0,16.0,4.0,14.0,2.0,12.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,122.0,56.0,94.0,28.0,66.0,1.65,3.44,1.79,2.545,0.895,1.65,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,9.105,13.96,4.855,11.5325,2.4275,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,103.0,91.0,12.0,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,2.0,2.0,5.0,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.0,5.951264188702443,p,O,-0.338381,s,Zn,-0.222725,0.11565599999999998
mp-675755,Ti2 Cu6 O8,-318.34844735,8.0,29.0,21.0,17.625,9.625,8.0,43.0,87.0,44.0,72.875,14.125,87.0,15.9994,63.546,47.5466,37.812825,21.813425,15.9994,54.8,1941.0,1886.2,779.1887499999999,724.3887500000001,54.8,4.0,16.0,12.0,12.625,3.375,16.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,160.0,94.0,102.5,36.5,66.0,1.54,3.44,1.9,2.625,0.815,3.44,1.0,2.0,1.0,1.625,0.46875,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0,7.625,2.53125,6.0,0.0,1.0,1.0,0.375,0.46875,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,8.0,8.0,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.375,1.40625,2.0,9.105,16.69,7.585000000000001,10.790000000000001,1.685,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,2.8166666666625e-06,4.9291666666593755e-06,0.0,12.0,225.0,213.0,114.625,102.625,12.0,3,0.6373774391990981,0.5642946794342502,0.5218357923239265,0.5090342055422441,0.5027468141173921,1.625,2.0,4.0,0.0,0.21311475409836064,0.26229508196721313,0.5245901639344263,0.0,0.5,5.624578180753075,d,Cu,-0.202272,d,Cu,-0.202272,0.0
mp-18800,Cr16 Si8 O32,-815.79960101,8.0,24.0,16.0,13.428571428571429,6.204081632653062,8.0,49.0,87.0,38.0,74.85714285714286,14.77551020408163,87.0,15.9994,51.9961,35.9967,28.01075714285714,13.72726530612245,15.9994,54.8,2180.0,2125.2,895.1714285714286,960.4244897959185,54.8,6.0,16.0,10.0,12.857142857142858,3.9183673469387754,16.0,2.0,4.0,2.0,2.7142857142857144,0.8163265306122449,2.0,66.0,139.0,73.0,93.28571428571429,31.183673469387752,66.0,1.66,3.44,1.78,2.7114285714285713,0.8326530612244899,3.44,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.5714285714285716,1.6326530612244898,4.0,0.0,5.0,5.0,1.4285714285714286,2.0408163265306123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.714285714285714,0.48979591836734687,6.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,4.0,4.0,1.7142857142857142,0.9795918367346939,2.0,0.0,5.0,5.0,1.4285714285714286,2.0408163265306123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.4285714285714284,1.6326530612244898,2.0,9.105,20.44,11.335,11.320000000000002,2.605714285714287,9.105,0.0,0.773,0.773,0.11042857142857143,0.1893061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,104.71428571428571,105.9591836734694,12.0,3,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,1.7142857142857142,2.5714285714285716,1.4285714285714286,0.0,0.3,0.45,0.25,0.0,0.2857142857142857,5.769898349753479,p,Si,-0.153293,s,Cr,-0.150445,0.002848000000000017
mp-1020631,Zn6 Ge6 O18,-654.6086745,8.0,32.0,24.0,17.2,11.040000000000001,8.0,69.0,87.0,18.0,81.8,6.24,87.0,15.9994,72.64,56.6406,37.20363999999999,25.445087999999995,15.9994,54.8,1211.4,1156.6000000000001,413.69599999999997,430.67519999999996,54.8,12.0,16.0,4.0,14.8,1.44,16.0,2.0,4.0,2.0,2.8,0.9599999999999999,2.0,66.0,122.0,56.0,88.0,26.4,66.0,1.65,3.44,1.79,2.796,0.7728,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,8.8,3.3600000000000003,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,9.105,23.005,13.899999999999999,12.856000000000002,4.5012,9.105,0.0,0.383,0.383,0.0766,0.12256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,2.0,2.8,4.0,0.0,0.22727272727272727,0.3181818181818181,0.45454545454545453,0.0,0.0,6.20428525102762,p,O,-0.338381,p,O,-0.338381,0.0
mp-1279742,Fe2 O2,-507.21033687,8.0,26.0,18.0,17.0,9.0,8.0,55.0,87.0,32.0,71.0,16.0,55.0,15.9994,55.845,39.8456,35.9222,19.9228,15.9994,54.8,1811.0,1756.2,932.9,878.1,54.8,8.0,16.0,8.0,12.0,4.0,8.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.83,3.44,1.6099999999999999,2.635,0.8049999999999999,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,2.0,9.105,10.73,1.625,9.9175,0.8125,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.0553314,1.0553314,0.0,12.0,229.0,217.0,120.5,108.5,12.0,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,2.0,2.0,3.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5,5.5143572001933565,d,Fe,-0.295049,d,Fe,-0.295049,0.0
mp-28669,Mn2 Se4 O12,-417.04405194,8.0,34.0,26.0,15.666666666666666,10.222222222222221,8.0,52.0,89.0,37.0,83.55555555555556,7.012345679012345,87.0,15.9994,78.96,62.96059999999999,34.31716055555555,24.42368074074074,15.9994,54.8,1519.0,1464.2,315.0888888888889,347.0518518518518,54.8,7.0,16.0,9.0,15.0,1.7777777777777777,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,139.0,73.0,86.11111111111111,26.814814814814817,66.0,1.55,3.44,1.89,3.032222222222222,0.5437037037037038,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.5555555555555554,0.7901234567901236,4.0,0.0,10.0,10.0,2.7777777777777777,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0,8.333333333333334,3.4074074074074074,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.7777777777777777,0.3950617283950618,2.0,0.0,5.0,5.0,0.5555555555555556,0.9876543209876544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.3333333333333335,0.5925925925925927,2.0,9.105,25.92,16.815,12.995287356322223,5.744316730523457,9.105,0.0,0.799,0.799,0.17755555555555558,0.2761975308641975,0.0,0.0,0.000310120689655,0.000310120689655,3.445785440611111e-05,6.125840783308641e-05,0.0,12.0,217.0,205.0,35.22222222222222,40.39506172839506,12.0,3,0.7114582486036499,0.6758002217303778,0.6672315521896236,0.6667105455840667,0.6666677967664446,2.0,3.5555555555555554,2.7777777777777777,0.0,0.24,0.42666666666666664,0.3333333333333333,0.0,0.1111111111111111,6.597223444178881,d,Mn,-0.26654,d,Mn,-0.26654,0.0
