sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
6518,-163.9814342,mp-975208,Rb1Ru1O3,"(2, 1, 0)",RbRuO3_mp-975208_Cd6NssmiII_duQN8eTpsr,24157.0,H,1
77401,-421.28521935,mp-7947,Pt2O2,"(2, 1, 2)",PtO_mp-7947_GT1j9BlZnm_Hd8v7EGBn8,78383.0,H,1
10184,-577.94631379,mp-7608,Li4Pd2O4,"(1, 3, 3)",Li2PdO2_mp-7608_duoP1R90r7_WfVM9GO692,21442.0,H,1
35672,-868.03228479,mp-755596,Ti2Cr2O8,"(2, 1, 0)",TiCrO4_mp-755596_E3GgYcpARe_gz58bb3p8z,18757.0,H,1
27021,-327.75248842,mp-1193554,Bi8Se12O40,"(1, 1, 0)",Bi2Se3O10_mp-1193554_e3MnNg9k3X_91ReVqB0Oq,40322.0,H,1
42481,-704.52426735,mp-27323,Ba2Mn4O6,"(2, 3, 0)",904239835_BaMn2O3_mp-27323_ne0i1q1Dxa_IMNGRlfhtT,79989.0,H,1
84026,-583.31604733,mvc-1666,Ta4Zn2O12,"(1, 2, 0)",Ta2ZnO6_mvc-1666_3cTdEGuWjx_gzH7bk8S21,,H,1
68695,-578.13175687,mp-37399,Li21Nb3O18,"(1, 1, 0)",Li7NbO6_mp-37399_HsewjaqBd2_rrXjTulKbh,78534.0,H,1
12398,-263.29127424,mvc-636,Sb1W2O8,"(1, 1, 0)",Sb-WO4-2_mvc-636_HJIgVomNgs_Hbw5m0rAH0,80135.0,H,1
31184,-738.62300859,mp-3536,Mg8Al16O32,"(1, 1, 0)",MgAl2O4_mp-3536_KoAlNeKaJ3_63laEPhdpW,38843.0,H,1
8416,-348.95727922,TlTeO4-rutile,Tl1Te1O4,"(2, -1, 3)",TlTeO4_TlTeO4-rutile_BObKhu6xR1_SbkbF7lEOj,5795.0,H,1
2882,-483.21537997,mp-4103,Sr8Sb8O28,"(0, 1, 0)",Sr2Sb2O7_mp-4103_ztAh4su967_o2jhLI6yw8,3687.0,H,1
82689,-439.68092958,mp-756426,Zr4Nb4O16,"(1, 1, 0)",1016015_ZrNbO4_mp-756426_WvlYvCKqTn_GCfxEvD5rm,81830.0,H,1
15057,-562.9062857,mp-756479,Lu18W3O36,"(1, 1, 0)",Lu6WO12_mp-756479_gANm6szSYc_ZrYtr08JOG,37114.0,H,1
30648,-561.52622119,mvc-15767,Y4Sn4O12,"(1, 1, -1)",YSnO3_mvc-15767_dxiDXnKIoe_dJF2JYZHGe,36801.0,H,1
42715,-199.34555605,SnSbO4-rutile,Sn1Sb1O4,"(2, 0, 1)",904239835_SnSbO4_SnSbO4-rutile_NTOd4WZmF8_S5RkMyY0VZ,46013.0,H,1
72791,-725.98012011,mp-504510,Mg2V4O12,"(1, 0, -1)",MgV2O6_mp-504510_2CfyDRiewm_7H4vmUmfCX,73604.0,H,1
7810,-795.43624686,mp-19458,Ba4V40O60,"(1, 0, 0)",BaV10O15_mp-19458_Lbtj4rmnF9_NgkoQEdkKw,12637.0,H,1
84049,-641.86792287,ScSbO4-rutile,Sc1Sb1O4,"(1, 0, 2)",ScSbO4_ScSbO4-rutile_B8psVRuKsk_LIRRB1Edqx,85771.0,H,1
16326,-502.3200555,mp-768873,Y8Ge4O20,"(1, 0, 0)",Y2GeO5_mp-768873_tuEt90sCX4_0Mu7mQXALH,18962.0,H,1
24766,-505.11748981,HgRuO4-rutile,Hg1Ru1O4,"(3, 0, 1)",HgRuO4_HgRuO4-rutile_3oczy4NW7w_kF7TApmEKV,35332.0,H,1
6650,-426.16409204,mp-761415,Cu2Ni6O8,"(2, 0, 3)",CuNi3O4_mp-761415_fo42PoTHOd_qW6EsrER9M,17479.0,H,1
71881,-567.22912622,mp-23548,Ag6Bi6O18,"(1, 0, -2)",AgBiO3_mp-23548_qSVr09Zs5K_4FndgCp3jp,72963.0,H,1
24874,-626.7907181,mp-757766,Fe1Bi25O39,"(1, 0, 0)",FeBi25O39_mp-757766_liy6LP7De7_TVVPwzZmu7,12076.0,H,1
