sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
79976,-603.00763846,mp-11019,Ga2Cu2O4,"(3, 1, 0)",GaCuO2_mp-11019_clean_BGOf5m0EUq,,,0
83741,-576.66065891,mp-756297,Zn8In16O32,"(1, 0, 0)",1027186_ZnIn2O4_mp-756297_clean_1giorXwLIe,,,0
45992,-256.74895213,mp-2697,Sr2O4,"(3, 1, 0)",90423983534_SrO2_mp-2697_clean_4PfBdIquvC,,,0
76126,-319.48310654,mp-1183971,Cs1Ru1O3,"(2, 1, 0)",CsRuO3_mp-1183971_clean_BGgcVDmxwC,,,0
15791,-451.67184603,mp-867628,Y6Cu11O24,"(1, 0, 0)",Y6Cu11O24_mp-867628_clean_8OnS76mt4v,,,0
42969,-627.46637624,MoIrO4-rutile,Mo1Ir1O4,"(1, 0, 2)",414325470_MoIrO4_MoIrO4-rutile_clean_iC5cz3PgiX,,,0
33216,-749.33607325,mp-19262,Cr16Cd8O32,"(1, 0, 0)",Cr2CdO4_mp-19262_clean_vCNUnRusLd,,,0
82656,-483.59324847,mp-776116,Al8Pd8O24,"(0, 1, 0)",1023647_AlPdO3_mp-776116_clean_mA3Taq34uk,,,0
83686,-462.14203895,mp-1101720,Sn8Pb8O24,"(0, 0, 1)",1028366_SnPbO3_mp-1101720_clean_8RwrWo4Avs,,,0
13982,-213.37962821,mp-754597,Lu4Tl4O12,"(0, 1, 0)",LuTlO3_mp-754597_clean_lCu78jqSLc,,,0
76424,-1011.18536657,mp-561361,Hg16Mo16O56,"(0, 0, 1)",Hg2Mo2O7_mp-561361_clean_wtqfUwLnn2,,,0
4268,-421.12417064,mp-8208,Mg2Pt6O12,"(0, 2, 1)",Mg-PtO2-3_mp-8208_clean_CiqrdvjUET,,,0
5080,-825.91373521,mp-755882,Mn8Al16O32,"(1, 0, 0)",MnAl2O4_mp-755882_clean_NigvNwIH6x,,,0
78410,-872.2361662,mp-755225,Li24Zr3O18,"(1, 0, -2)",Li8ZrO6_mp-755225_clean_JQit4t6l1a,,,0
13120,-650.2580785,mp-22684,Fe16Ni8O32,"(1, 1, 0)",Fe2NiO4_mp-22684_clean_WJkcgymoKE,,,0
70510,-977.91652449,mp-755225,Li24Zr3O18,"(1, 0, 1)",Li8ZrO6_mp-755225_clean_YC1Wcknimf,,,0
84687,-670.40062124,mp-768095,K2V26O40,"(0, 0, 1)",KV13O20_mp-768095_clean_GNleOLsddB,,,0
77034,-538.10699206,mp-23456,Cr8Bi8O24,"(0, 0, 1)",CrBiO3_mp-23456_clean_ULsxUwxXX7,,,0
41663,-385.97565259,mp-996954,Cu1Pt1O2,"(1, 2, 3)",51024953_CuPtO2_mp-996954_clean_BquNBgRHPm,,,0
37784,-250.9337597,MnAuO4-rutile,Mn1Au1O4,"(2, 1, 2)",MnAuO4_MnAuO4-rutile_clean_TpUMdSCD52,,,0
24092,-220.60114361,mp-545820,Sn8O8,"(1, 1, 0)",SnO_mp-545820_clean_MQTsx0mb1e,,,0
83169,-475.90964074,MnRhO4-rutile,Mn1Rh1O4,"(2, 1, 3)",1008483_MnRhO4_MnRhO4-rutile_clean_dQABKmFq9m,,,0
85657,-305.3465294,TlPdO4-rutile,Tl1Pd1O4,"(1, 1, 1)",TlPdO4_TlPdO4-rutile_clean_S34jUpxwPm,,,0
21088,-759.626892,mp-755342,Lu2Ga2O6,"(1, 0, 0)",LuGaO3_mp-755342_clean_GFXLclnUTI,,,0
69210,-738.33154762,mp-756635,Co9Bi3O24,"(1, 0, -2)",Co3BiO8_mp-756635_clean_BAlXRXJsRt,,,0
23345,-319.00865254,mp-1201514,K8Ru4O20,"(0, 1, 0)",K2RuO5_mp-1201514_clean_txyRxtJImt,,,0
21907,-559.19748276,mp-984729,Ba1Sr3O4,"(3, 1, 0)",BaSr3O4_mp-984729_clean_rUMdNOm6B7,,,0
14238,-586.43107124,mp-1016850,Ba1Rh1O3,"(2, 2, 1)",BaRhO3_mp-1016850_clean_oTqGd4argO,,,0
84617,-701.78769565,IrPtO4-rutile,Ir1Pt1O4,"(2, 2, 1)",IrPtO4_IrPtO4-rutile_clean_WRJ4MCeee6,,,0
43816,-596.47695979,mp-1099259,Li1Mg3O4,"(1, 1, 0)",509358681_LiMg3O4_mp-1099259_clean_EYTAUlC2WI,,,0
43536,-411.81608081,mp-27684,Tl8O6,"(1, 3, 1)",90423983534_Tl4O3_mp-27684_clean_G8hldeAYer,,,0
24139,-467.7967334,mp-1095224,Pt4O8,"(1, 1, 0)",PtO2_mp-1095224_clean_isIgdbOquL,,,0
37901,-488.69565881,mp-1102963,V4O8,"(1, 1, 0)",VO2_mp-1102963_clean_CMlhg7rLv8,,,0
20969,-654.96637799,mvc-12238,Ca2V8O16,"(0, 1, 0)",CaV4O8_mvc-12238_clean_V2jniiMNLJ,,,0
73944,-262.07544217,mp-755217,Cs8Ba4O8,"(1, 1, 1)",Cs2BaO2_mp-755217_clean_ahngBgRZDZ,,,0
30155,-465.23184501,mp-1221958,Mg2Zn6O8,"(0, 1, 0)",MgZn3O4_mp-1221958_clean_xR4UQK4nG0,,,0
20317,-370.07233918,mp-754146,Rb12Y4O12,"(1, 0, 1)",Rb3YO3_mp-754146_clean_ycuvWoS6do,,,0
665,-629.8444853,mp-1197783,Re8Bi24O64,"(1, 0, 0)",ReBi3O8_mp-1197783_clean_Vv4s8iProW,,,0
1820,-790.06594061,mp-19509,Sr4V40O60,"(1, 0, 0)",SrV10O15_mp-19509_clean_7F8aHlMCNt,,,0
11926,-598.2238714,mp-770743,Li8Hf8O20,"(0, 0, 1)",Li2Hf2O5_mp-770743_clean_1BCon13OiZ,,,0
79039,-276.07183512,mp-19252,K4Ni2O4,"(1, 1, 3)",K2NiO2_mp-19252_clean_zAIGGXzTVQ,,,0
80108,-605.08520399,mp-756134,Zr2Se2O2,"(2, 1, 1)",ZrSeO_mp-756134_clean_p6EkskCwdm,,,0
72719,-667.4297731,mp-1183719,Cr1Rh1O3,"(1, 0, 0)",CrRhO3_mp-1183719_clean_RMLpiMyuSF,,,0
5680,-259.96371732,mp-540932,Mn4Ag8O16,"(1, 0, 0)",Mn-AgO2-2_mp-540932_clean_HCZVoGAlQ4,,,0
77165,-406.86119766,mp-1272458,Nb4V4O16,"(0, 0, 1)",NbVO4_mp-1272458_clean_OEwNFWI8j9,,,0
76515,-299.42440562,mp-7896,Cs4O4,"(1, 2, 2)",Cs2O2_mp-7896_clean_PFfHWJdfHg,,,0
82998,-615.80564752,mp-5794,Zn8Ga16O32,"(1, 0, 0)",1012805_Zn-GaO2-2_mp-5794_clean_x39qV3uf9E,,,0
39319,-403.25310504,mp-30120,K6Bi2O8,"(1, 2, -1)",K3BiO4_mp-30120_clean_NhIOkejSXJ,,,0
7335,-690.6888342,mp-17694,Ca20Al24O56,"(0, 1, 0)",Ca5Al6O14_mp-17694_clean_xpZ6ZioqZP,,,0
72503,-307.53219189,mp-1283235,Cr4Ni2O8,"(1, 1, -1)",Cr2NiO4_mp-1283235_clean_GYgKbNTFZp,,,0
42818,-917.1413043,mp-1238961,Ta2O5,"(2, 1, 1)",69019397_Ta2O5_mp-1238961_clean_vqkSL6s1Ad,,,0
33484,-522.3488616,mp-545820,Sn8O8,"(1, 1, 2)",SnO_mp-545820_clean_oFSfUlWzrn,,,0
1365,-590.91898744,mp-758482,V2Bi24O41,"(1, 1, 1)",V2Bi24O41_mp-758482_clean_OARADZvYfb,,,0
68758,-896.89115686,mp-776593,Lu4Sc4O12,"(1, 2, 1)",LuScO3_mp-776593_clean_6QTXqFADNn,,,0
83097,-176.03220096,ZnAuO4-rutile,Zn1Au1O4,"(2, -1, 2)",1012688_ZnAuO4_ZnAuO4-rutile_clean_jP2Aj9gMeO,,,0
85605,-677.24664517,mp-761842,Hf3Sn1O8,"(1, 0, 2)",Hf3SnO8_mp-761842_clean_r1LuQBT0rJ,,,0
70360,-818.31852889,mp-772864,Rb16Ge16O40,"(0, 0, 1)",Rb2Ge2O5_mp-772864_clean_Aygz4pVoNb,,,0
23447,-473.34879829,mp-752792,Mn2V8O24,"(1, 0, -1)",MnV4O12_mp-752792_clean_KHl11ebMj1,,,0
