sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
69745,-848.61785047,mp-756851,Al8Cr16O32,"(1, 0, 0)",AlCr2O4_mp-756851_clean_p8JKEUD9mx,,,0
45673,-300.64401161,mp-996964,Cd2Ag2O4,"(2, 0, 1)",51024953_CdAgO2_mp-996964_clean_p2V8bDesmG,,,0
18921,-749.33546148,mp-19262,Cr16Cd8O32,"(1, 0, 0)",Cr2CdO4_mp-19262_clean_jbqJiIUg23,,,0
80800,-848.47035293,mp-753993,Nb4V4O20,"(0, 1, 0)",NbVO5_mp-753993_clean_6xzzX5rvQJ,,,0
74079,-531.84479139,mp-650741,Cu8Mo10O34,"(0, 1, 0)",Cu4Mo5O17_mp-650741_clean_9UdyjJubYI,,,0
43472,-847.90206688,mp-1215,Ti2O1,"(3, 2, 3)",69019397_Ti2O_mp-1215_clean_oCPcffrDn3,,,0
12491,-294.33149238,mp-30990,K12Si4O14,"(0, 1, 0)",K6Si2O7_mp-30990_clean_JF8xyizYuT,,,0
68956,-490.03649066,mp-767737,Co18Cu6O32,"(0, 1, 0)",Co9Cu3O16_mp-767737_clean_Bzv408zFm5,,,0
84970,-480.0532506,mp-754693,Lu6Bi18O36,"(1, 1, 0)",Lu-BiO2-3_mp-754693_clean_oBxhS9BRar,,,0
29561,-1093.45134584,mp-1215197,Zr2Ti2O8,"(2, 1, 3)",ZrTiO4_mp-1215197_clean_JQsrPZWTAf,,,0
23272,-260.27293111,mp-18224,Rb12Ge4O14,"(1, 1, -1)",Rb6Ge2O7_mp-18224_clean_OUUYAoZElf,,,0
84650,-187.35217136,mp-28545,Rb4Li4O4,"(1, 0, 0)",RbLiO_mp-28545_clean_zjIS6qr3ON,,,0
79040,-642.97264796,mp-510508,Ba8Ir12O36,"(1, 1, 0)",Ba2-IrO3-3_mp-510508_clean_vS9iwku9wG,,,0
80367,-815.92319518,mp-29352,Ba4Pd2O6,"(0, 1, 0)",Ba2PdO3_mp-29352_clean_aeibooblgR,,,0
70158,-160.80493048,mp-684583,Cs2O4,"(1, 1, 0)",CsO2_mp-684583_clean_DWECQbMXeV,,,0
75140,-514.31199688,mp-1105153,Sr4Os4O12,"(1, 0, 1)",SrOsO3_mp-1105153_clean_LKtqFZClX6,,,0
80380,-246.89866484,mp-29241,Ca3Sn1O1,"(3, 1, 1)",Ca3SnO_mp-29241_clean_MuJ3fforhz,,,0
69624,-597.86283534,mp-780398,Al8Se12O48,"(0, 0, 1)",Al2-SeO4-3_mp-780398_clean_98w5fuMIhv,,,0
80201,-391.52430033,mp-553310,Cs4Cu4O8,"(1, 2, 3)",CsCuO2_mp-553310_clean_omdP9Vfhuj,,,0
81224,-391.41359268,mvc-16263,Zn2Bi4O8,"(1, 2, -2)",Zn-BiO2-2_mvc-16263_clean_YM9SK46tIB,,,0
79206,-248.5506074,mp-7480,Rb3Lu3O6,"(1, 0, -2)",RbLuO2_mp-7480_clean_lT3S9yCfhQ,,,0
81248,-669.18700929,mp-554874,Cu4Ge4O12,"(1, 0, -2)",CuGeO3_mp-554874_clean_Nx6Gw7lpOO,,,0
36513,-790.89601313,mp-755628,Ta2Fe2O8,"(1, 1, 1)",TaFeO4_mp-755628_clean_V9wYWv2mGE,,,0
24788,-491.89617778,mp-754759,Y12O18,"(1, 0, 1)",Y2O3_mp-754759_clean_mXHKkVwaaD,,,0
10201,-267.65849752,mp-755789,Na4Be4O6,"(1, 0, 1)",Na2Be2O3_mp-755789_clean_ShLuHO3zVr,,,0
81038,-662.47485584,mp-1298346,Sr8Co4O16,"(0, 1, 0)",Sr2CoO4_mp-1298346_clean_HuT1ZWPLJy,,,0
29783,-580.27141406,mp-560842,Cd16Si8O32,"(1, 1, 0)",Cd2SiO4_mp-560842_clean_mROum8ijg8,,,0
85261,-452.62125201,mp-30304,Bi6Sb2O14,"(1, -2, 0)",Bi3SbO7_mp-30304_clean_JZAG9Ne4zL,,,0
35802,-257.20040988,mp-1105293,Ga4Ag4O8,"(0, 1, 0)",GaAgO2_mp-1105293_clean_rVVc2Y3RVz,,,0
16832,-419.00814006,mp-754322,Sr4Cu2O8,"(2, 1, 2)",Sr2CuO4_mp-754322_clean_5pwRkZLhCB,,,0
30228,-311.94695583,mp-754068,Mn4Cu24O32,"(1, 1, 0)",Mn-Cu3O4-2_mp-754068_clean_LRUMOFNXLL,,,0
72218,-356.79016399,mp-756521,Ba4Na8O8,"(1, 0, 1)",BaNa2O2_mp-756521_clean_tfuboBtfbH,,,0
16826,-652.13475535,mp-754651,Fe14Ni12O32,"(2, 0, -1)",Fe7-Ni3O8-2_mp-754651_clean_OzgFrHZ1ox,,,0
74635,-769.20602918,mp-4575,Mg16Ge16O48,"(0, 0, 1)",MgGeO3_mp-4575_clean_7u9BWbuuH7,,,0
16566,-312.22910549,mp-9158,Li2Cu2O4,"(2, 1, 1)",LiCuO2_mp-9158_clean_adhvp8EiQA,,,0
40367,-526.55518382,mp-1224752,Fe4Re8O24,"(1, 0, 0)",Fe-ReO3-2_mp-1224752_clean_k6cj1A4gIj,,,0
79606,-1109.43366311,mp-766380,Ge4W18O54,"(0, 0, 1)",Ge2-WO3-9_mp-766380_clean_t0fTWKRKF6,,,0
8174,-548.89649335,mp-4558,Li16Ge4O16,"(0, 2, 1)",Li4GeO4_mp-4558_clean_sM0aBzwzLx,,,0
81184,-322.1140822,mp-1016850,Ba1Rh1O3,"(2, 1, 0)",BaRhO3_mp-1016850_clean_1S7omnOyqZ,,,0
1189,-391.11402159,mp-1022963,Ir4O12,"(3, 1, 3)",IrO3_mp-1022963_clean_7plIUi2WEz,,,0
745,-396.35458558,mp-3427,Li4Al4O8,"(1, 0, 1)",LiAlO2_mp-3427_clean_n0deEzEo9i,,,0
2891,-755.32124448,mp-21602,Zr64Ni32O16,"(1, 0, 0)",Zr4Ni2O_mp-21602_clean_5hNWhV6BGE,,,0
79564,-504.96075617,mp-1187189,Ta1Ag1O3,"(3, 2, 2)",TaAgO3_mp-1187189_clean_WnY1GLsNga,,,0
2158,-290.319472,mp-28669,Mn2Se4O12,"(1, 0, 0)",Mn-SeO3-2_mp-28669_clean_HVWshNi4ux,,,0
36576,-393.27154386,mp-755999,Rb4Be4O6,"(1, 2, 2)",Rb2Be2O3_mp-755999_clean_G4kWbbTYU3,,,0
77152,-777.19714263,mp-1221996,Mn8Co4O16,"(1, 1, -1)",Mn2CoO4_mp-1221996_clean_tzKUQM9XM0,,,0
80432,-572.25370394,mp-1099259,Li1Mg3O4,"(3, 2, 2)",LiMg3O4_mp-1099259_clean_b1cGHWwTPN,,,0
12248,-537.39324689,mp-868005,Ga8Fe8O24,"(0, 1, 1)",GaFeO3_mp-868005_clean_qlvtSrOcJR,,,0
44439,-417.55456442,mp-19178,Co2Ag2O4,"(3, -1, 3)",123212059559_CoAgO2_mp-19178_clean_9o0xyaKvLm,,,0
78188,-622.2229336,mp-7947,Pt2O2,"(2, 0, 3)",PtO_mp-7947_clean_QV48PvauYt,,,0
41052,-181.20719663,mp-675402,Cu1Ag1O2,"(2, -2, 1)",90423983570956_CuAgO2_mp-675402_clean_IOgh5L59IE,,,0
80812,-412.05339775,mp-19178,Co2Ag2O4,"(1, 0, 0)",CoAgO2_mp-19178_clean_l7UA71WOIN,,,0
44582,-376.44922898,GaIrO4-rutile,Ga1Ir1O4,"(2, 0, 1)",51024953_GaIrO4_GaIrO4-rutile_clean_eJSnzv7uKt,,,0
79383,-727.53348472,mp-755596,Ti2Cr2O8,"(1, 1, 0)",TiCrO4_mp-755596_clean_ozv1gTw3CO,,,0
24360,-119.22768791,mp-971,K8O4,"(1, 1, 0)",K2O_mp-971_clean_bkjDrmxO1c,,,0
80510,-240.13845416,mp-1244777,Mg2Ag4O8,"(1, 1, 0)",Mg-AgO2-2_mp-1244777_clean_z2SFqNchf8,,,0
45856,-97.9927533,mp-7961,Sr3Sn1O1,"(1, 1, 1)",90423983570956_Sr3SnO_mp-7961_clean_L74NrPpysC,,,0
44884,-304.15324934,mp-1018032,Sr1Cd1O2,"(1, 1, 3)",69019397_SrCdO2_mp-1018032_clean_tEuugCj4CU,,,0
33497,-214.36567532,mp-27418,K1Au1O2,"(1, 3, 3)",KAuO2_mp-27418_clean_pTk2IekO4D,,,0
78821,-676.62484086,mp-13675,Cd2Pd6O8,"(3, 3, 1)",CdPd3O4_mp-13675_clean_y04kSdwKcX,,,0
10497,-938.59043829,mp-772085,Li2Nb20O36,"(0, 0, 1)",LiNb10O18_mp-772085_clean_29nFWbS3Sz,,,0
13425,-464.53671143,CdRuO4-rutile,Cd1Ru1O4,"(1, 0, 1)",CdRuO4_CdRuO4-rutile_clean_aDNLuRW95z,,,0
40807,-382.52489483,FeSbO4-rutile,Fe1Sb1O4,"(2, 1, 1)",414325470_FeSbO4_FeSbO4-rutile_clean_hjsInYwKRR,,,0
18889,-368.52619121,mp-19284,Ni2Ag2O4,"(3, -1, 0)",NiAgO2_mp-19284_clean_A9yKmP2O1g,,,0
44466,-1037.90159427,mp-1178276,Ga3Pt3O6,"(2, -1, 2)",51024953_GaPtO2_mp-1178276_clean_Pz2wZhC5vX,,,0
9402,-341.60780704,mp-560647,Ca8Ge4O16,"(1, 0, 0)",Ca2GeO4_mp-560647_clean_SxdT4SfHJD,,,0
85846,-306.06505249,mp-978952,Sn1Pb1O3,"(2, 1, 0)",SnPbO3_mp-978952_clean_FGEwRbz7Z4,,,0
35233,-1107.42704715,mp-772823,Y8Hf4O20,"(1, 1, 2)",Y2HfO5_mp-772823_clean_cBb3myQMyL,,,0
72628,-1258.15465696,mp-558294,Li18Ta6O24,"(0, 0, 1)",Li3TaO4_mp-558294_clean_rSSBtBVsgw,,,0
42553,-315.4906946,CuPtO4-rutile,Cu1Pt1O4,"(2, 1, 1)",90423983570956_CuPtO4_CuPtO4-rutile_clean_Ns53OyTnf3,,,0
44923,-392.33047495,SbRhO4-rutile,Sb1Rh1O4,"(2, 1, 1)",90423983534_SbRhO4_SbRhO4-rutile_clean_DNesq0SmXv,,,0
38154,-472.8310954,mp-561490,Pd4Se4O16,"(2, 1, -2)",PdSeO4_mp-561490_clean_VsZtrr4fXW,,,0
13448,-567.78639133,mp-849761,Ga1Bi25O39,"(1, 0, 0)",GaBi25O39_mp-849761_clean_Vash46KIse,,,0
20818,-781.23193033,mp-755190,Ta4V4O16,"(1, 1, 0)",TaVO4_mp-755190_clean_sjZmcl5u37,,,0
43307,-461.2999989,AgPdO4-rutile,Ag1Pd1O4,"(3, 0, 2)",90423983570956_AgPdO4_AgPdO4-rutile_clean_XFmkdBn0NR,,,0
18605,-638.00661412,mp-1176488,Mn16Hg8O32,"(1, 1, 0)",Mn2HgO4_mp-1176488_clean_TyoWQ0klXi,,,0
78466,-624.59077171,mp-1289737,Cs4Co4O8,"(0, 2, 1)",CsCoO2_mp-1289737_clean_vkVeKzMAMc,,,0
80020,-1033.17729372,mvc-4415,Ta4O10,"(1, 3, 1)",Ta2O5_mvc-4415_clean_hpCkf3kaCW,,,0
27353,-941.38351387,mp-19005,Y18W3O36,"(1, 0, 0)",Y6WO12_mp-19005_clean_JZg8RCQv8l,,,0
8061,-816.32301557,mp-1287612,Mn10Sn2O16,"(1, 2, 0)",Mn5SnO8_mp-1287612_clean_FyuPocjHLB,,,0
2424,-628.14964322,mp-754605,Li4Lu4O8,"(1, 0, 0)",LiLuO2_mp-754605_clean_ODjMS25g8b,,,0
26007,-825.95711324,mp-867758,Zr11V1O24,"(1, 1, 0)",Zr11VO24_mp-867758_clean_vUMrKbh35b,,,0
45594,-375.22116778,RuRhO4-rutile,Ru1Rh1O4,"(2, 1, 2)",90423983534_RuRhO4_RuRhO4-rutile_clean_cD4wFcWJSM,,,0
23815,-323.1243047,mp-1227022,Ca2Zn6O8,"(0, 1, 0)",CaZn3O4_mp-1227022_clean_72Yz0fQ65C,,,0
10598,-401.85172777,mp-2723,Ir2O4,"(2, 1, 1)",IrO2_mp-2723_clean_TWCiQ2imJN,,,0
73426,-439.09216099,mp-754272,Cs4Ba4O6,"(2, 1, -1)",Cs2Ba2O3_mp-754272_clean_EdxmJbJamS,,,0
82610,-465.80531172,mp-6989,Ba2Se2O6,"(1, 2, 1)",1016015_BaSeO3_mp-6989_clean_an4WNYX4yv,,,0
84697,-490.98716754,mp-3297,Li20Zn8O18,"(1, 0, 1)",Li10Zn4O9_mp-3297_clean_fdlLc7e3jB,,,0
42043,-731.97690506,PtRhO4-rutile,Pt1Rh1O4,"(1, 0, 3)",90423983534_PtRhO4_PtRhO4-rutile_clean_Zk6WAxX3kP,,,0
82224,-277.17561124,mp-755144,Na2Li2O2,"(3, -1, 1)",1012688_NaLiO_mp-755144_clean_wopQgN7C1m,,,0
13010,-151.13991637,mp-1189546,Cd6Ge2O12,"(1, 0, 0)",Cd3GeO6_mp-1189546_clean_aQjJra8zqf,,,0
85650,-336.86780023,mp-975382,Rb1Ca1O3,"(1, 1, 0)",RbCaO3_mp-975382_clean_jleQXtiyR3,,,0
32145,-244.64737385,mvc-6513,Mg4Ag8O16,"(1, 0, 1)",Mg-AgO2-2_mvc-6513_clean_ny9VXlBGWk,,,0
31642,-341.05334962,mp-981103,Sr3Cd1O4,"(2, 1, 1)",Sr3CdO4_mp-981103_clean_WazjtOOyUW,,,0
32909,-716.45267937,mp-28962,Ti8Bi4O22,"(1, 1, -1)",Ti4Bi2O11_mp-28962_clean_2QX0iJUl5s,,,0
