sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
83815,-463.22820291,MoRuO4-rutile,Mo1Ru1O4,"(1, 1, 1)",MoRuO4_MoRuO4-rutile_UHoafMe4bl_RkmZz8QW6a,84629.0,H,1
22162,-290.16379886,mp-1190911,Rb3V5O14,"(1, 0, 0)",Rb3V5O14_mp-1190911_JkTJz5zUQG_dej6unpJUH,19893.0,H,1
18866,-218.36879679,mp-12867,Sr4Sn4O12,"(1, 0, 0)",SrSnO3_mp-12867_1jGbPPW3uf_59KaVzwPiM,4181.0,H,1
30785,-289.57546127,mp-997000,Ag2Hg2O4,"(1, 0, -2)",AgHgO2_mp-997000_zacGJOOR1r_EyNpdvlho4,3374.0,H,1
38214,-237.35165544,mp-755391,Ba4Na8O8,"(1, 0, 0)",BaNa2O2_mp-755391_kTI7o0PCgs_1aTI9Fvq80,11189.0,H,1
13204,-354.68709054,mp-36866,Al16Cd8O32,"(1, 1, 0)",Al2CdO4_mp-36866_LxUco5XxOX_qa3aZWLVRS,9301.0,H,1
9265,-356.00593024,mp-996962,Li2Ag2O4,"(0, 0, 1)",LiAgO2_mp-996962_49JgB5H36a_gymIIzdkiQ,748.0,H,1
81984,-263.44300989,mp-27716,K4Tl4O4,"(2, 1, -2)",1020269_KTlO_mp-27716_CQfOzVMn8Y_jlCmNfODms,,H,1
27059,-508.50131209,mp-551407,Co4Se4O16,"(1, 2, 1)",CoSeO4_mp-551407_PRIU9x7DeP_GXQ6h01N1t,31110.0,H,1
43363,-222.83765932,mp-27418,K1Au1O2,"(0, 1, 3)",235508583253254_KAuO2_mp-27418_vHYD7i7bVG_C2GCF9bs04,43093.0,H,1
9970,-460.90025262,mp-1204060,Ge4Se8O24,"(1, 1, 1)",Ge-SeO3-2_mp-1204060_hAqMksqOmT_R1681XwTvO,81143.0,H,1
70665,-485.56156686,mp-1296399,V4Ge8O24,"(1, 1, -1)",V-GeO3-2_mp-1296399_CCdPGfIVdZ_Ugg1WUvDCu,73921.0,H,1
