bulk_id,bulk_symbols,y_relaxed,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,transition metal fraction,band center,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO
mp-27130,Li4 W4 O14,-249.67016152,3.0,74.0,71.0,19.09090909090909,19.966942148760328,8.0,1.0,87.0,86.0,64.81818181818181,28.231404958677686,87.0,6.941,183.84,176.899,44.868890909090915,50.53494876033058,15.9994,54.8,3695.0,3640.2,789.18,1056.661818181818,54.8,1.0,16.0,15.0,11.454545454545455,5.785123966942148,16.0,2.0,6.0,4.0,2.727272727272727,1.190082644628099,2.0,66.0,162.0,96.0,94.72727272727273,36.56198347107438,66.0,0.98,3.44,2.46,2.7963636363636364,0.8191735537190084,3.44,1.0,2.0,1.0,1.8181818181818181,0.29752066115702486,2.0,0.0,4.0,4.0,2.5454545454545454,1.8512396694214877,4.0,0.0,4.0,4.0,0.7272727272727273,1.190082644628099,0.0,0.0,14.0,14.0,2.5454545454545454,4.165289256198347,0.0,1.0,20.0,19.0,7.636363636363637,4.4958677685950414,6.0,0.0,1.0,1.0,0.18181818181818182,0.29752066115702475,0.0,0.0,2.0,2.0,1.2727272727272727,0.9256198347107438,2.0,0.0,6.0,6.0,1.0909090909090908,1.7851239669421488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.5454545454545454,1.256198347107438,2.0,9.105,16.5933333333,7.488333333299998,11.729242424236363,3.339944903573553,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,90.9090909090909,100.42975206611571,12.0,3,0.6863485850246136,0.6461085146520509,0.636847546393112,0.6363918918735771,0.6363640977380328,1.8181818181818181,2.5454545454545454,0.7272727272727273,2.5454545454545454,0.23809523809523808,0.3333333333333333,0.09523809523809523,0.3333333333333333,0.18181818181818182,5.782962683839305,p,O,-0.338381,d,W,-0.220603,0.117778
mp-1095546,Re4 O8,-378.71666162,8.0,75.0,67.0,30.333333333333332,29.777777777777782,8.0,54.0,87.0,33.0,76.0,14.666666666666666,87.0,15.9994,186.207,170.20759999999999,72.73526666666666,75.64782222222222,15.9994,54.8,3459.0,3404.2,1189.5333333333333,1512.9777777777779,54.8,7.0,16.0,9.0,13.0,4.0,16.0,2.0,6.0,4.0,3.3333333333333335,1.777777777777778,2.0,66.0,151.0,85.0,94.33333333333333,37.77777777777778,66.0,1.9,3.44,1.54,2.9266666666666663,0.6844444444444445,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,6.0,21.0,15.0,11.0,6.666666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,9.105,14.655,5.549999999999999,10.955,2.4666666666666663,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,2.0,2.6666666666666665,1.6666666666666667,4.666666666666667,0.18181818181818182,0.2424242424242424,0.15151515151515152,0.42424242424242425,0.3333333333333333,6.110760736514636,d,Re,-0.258639,d,Re,-0.258639,0.0
mp-29799,K12 Bi12 O36,-529.14789381,8.0,83.0,75.0,25.2,23.119999999999997,8.0,3.0,87.0,84.0,70.0,26.8,87.0,15.9994,208.9804,192.981,59.215379999999996,59.90600799999999,15.9994,54.8,544.4,489.59999999999997,209.06599999999997,185.11919999999998,54.8,1.0,16.0,15.0,12.8,4.72,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,203.0,137.0,109.8,52.56000000000001,66.0,0.82,3.44,2.62,2.632,0.9696,3.44,1.0,2.0,1.0,1.8,0.32,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,29.0,28.0,9.6,7.760000000000001,6.0,0.0,1.0,1.0,0.2,0.32000000000000006,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.4,2.0,9.105,73.1066666667,64.00166666669999,26.674333333339998,21.083200000008,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,55.4,69.44,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.8,3.0,2.0,2.8,0.1875,0.3125,0.20833333333333334,0.2916666666666667,0.0,5.322542516037523,p,O,-0.338381,p,O,-0.338381,0.0
mvc-14111,Al20 Fe12 O48,-1137.26038816,8.0,26.0,18.0,11.95,4.74,8.0,55.0,87.0,32.0,78.7,9.959999999999999,87.0,15.9994,55.845,39.8456,24.721774649999997,10.466849579999998,15.9994,54.8,1811.0,1756.2,537.8975,579.717,54.8,8.0,16.0,8.0,14.05,2.34,16.0,2.0,4.0,2.0,2.55,0.6599999999999999,2.0,66.0,132.0,66.0,89.65,28.380000000000003,66.0,1.61,3.44,1.8299999999999998,2.741,0.8387999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.65,1.6200000000000003,4.0,0.0,6.0,6.0,0.9,1.5299999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.55,1.2750000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.45,1.2750000000000001,2.0,0.0,4.0,4.0,0.6,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.05,1.26,2.0,9.105,16.48,7.375,11.1925,2.6437500000000003,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.31659942,0.538219014,0.0,12.0,229.0,217.0,97.8,102.96,12.0,3,0.6670832032063166,0.6171005792776718,0.6016155054141484,0.6001919323281267,0.6000095197584842,2.0,2.65,0.9,0.0,0.3603603603603604,0.4774774774774775,0.16216216216216217,0.0,0.15,5.5461830880884415,d,Fe,-0.295049,d,Fe,-0.295049,0.0
mp-4359,Sr4 Pd2 O6,-404.91335166,8.0,46.0,38.0,24.333333333333332,16.333333333333332,8.0,8.0,87.0,79.0,56.5,32.333333333333336,87.0,15.9994,106.42,90.42060000000001,54.94303333333334,38.94363333333333,15.9994,54.8,1828.05,1773.25,682.075,627.275,54.8,2.0,16.0,14.0,10.333333333333334,5.666666666666667,16.0,2.0,5.0,3.0,3.5,1.5,2.0,66.0,195.0,129.0,121.16666666666667,55.166666666666664,66.0,0.95,3.44,2.49,2.4033333333333333,1.0366666666666666,3.44,0.0,2.0,2.0,1.6666666666666667,0.5555555555555555,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,1.6666666666666667,2.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,5.333333333333333,2.222222222222222,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,9.105,54.23,45.125,25.030833333333334,19.46611111111111,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,3,0.6236095644623235,0.5503212081491045,0.5128974808990104,0.5041104334909742,0.5008612172408381,1.6666666666666667,2.0,1.6666666666666667,0.0,0.31250000000000006,0.375,0.31250000000000006,0.0,0.16666666666666666,5.0062662978579215,d,Pd,-0.160771,d,Pd,-0.160771,0.0
mp-1184945,K1 Y1 O3,-444.79007123,8.0,39.0,31.0,16.4,10.08,8.0,3.0,87.0,84.0,55.2,38.160000000000004,87.0,15.9994,88.90585,72.90645,35.20047,23.041284,15.9994,54.8,1799.0,1744.2,459.986,535.6056000000001,54.8,1.0,16.0,15.0,10.4,6.719999999999999,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,203.0,137.0,118.2,62.64000000000001,66.0,0.82,3.44,2.62,2.472,1.1616,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.4,1.92,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.2,2.3200000000000003,2.0,9.105,73.1066666667,64.00166666669999,26.55733333334,20.942800000008,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.8,2.4,0.2,0.0,0.40909090909090906,0.5454545454545454,0.045454545454545456,0.0,0.0,5.0809638681509055,p,O,-0.338381,p,O,-0.338381,0.0
mp-2898,Ca4 Au8 O16,-228.06130476,8.0,79.0,71.0,30.0,28.0,8.0,7.0,87.0,80.0,69.57142857142857,19.918367346938776,87.0,15.9994,196.966569,180.96716899999998,71.14410542857142,71.89855061224489,15.9994,54.8,1337.33,1282.53,572.6942857142857,591.8791836734694,54.8,2.0,16.0,14.0,12.571428571428571,3.918367346938776,16.0,2.0,6.0,4.0,3.4285714285714284,1.6326530612244898,2.0,66.0,176.0,110.0,101.71428571428571,40.816326530612244,66.0,1.0,3.44,2.44,2.834285714285714,0.6922448979591836,3.44,1.0,2.0,1.0,1.7142857142857142,0.4081632653061225,2.0,0.0,4.0,4.0,2.2857142857142856,1.959183673469388,4.0,0.0,10.0,10.0,2.857142857142857,4.081632653061225,0.0,0.0,14.0,14.0,4.0,5.714285714285714,0.0,2.0,25.0,23.0,10.857142857142858,8.081632653061224,6.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612246,0.0,0.0,2.0,2.0,1.1428571428571428,0.979591836734694,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.4285714285714286,0.6530612244897959,2.0,9.105,37.77,28.665000000000003,15.370000000000001,7.160000000000001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,103.28571428571429,104.3265306122449,12.0,3,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,1.7142857142857142,2.2857142857142856,2.857142857142857,4.0,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.0,6.142508229203155,d,Au,-0.304738,d,Au,-0.304738,0.0
mp-685137,Ce4 Sb2 O4,-269.29463308,8.0,58.0,50.0,36.6,22.880000000000003,8.0,15.0,87.0,72.0,57.8,34.239999999999995,15.0,15.9994,140.116,124.11660000000002,86.79816000000001,56.63900800000001,15.9994,54.8,1071.0,1016.2,631.0759999999999,461.02080000000007,54.8,3.0,16.0,13.0,10.6,6.08,3.0,2.0,6.0,4.0,4.2,1.7600000000000002,2.0,66.0,204.0,138.0,135.8,55.839999999999996,66.0,1.12,3.44,2.32,2.234,0.9648,1.12,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.2,1.7600000000000002,0.0,0.0,10.0,10.0,2.4,3.04,0.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,4.0,15.0,11.0,7.0,3.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.4,1.12,0.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,13.0,13.0,5.2,6.24,0.0,2.0,22.0,20.0,10.2,9.440000000000001,2.0,9.105,37.24,28.135,24.85,12.596,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,115.6,82.88,12.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.2,2.4,0.4,0.2857142857142857,0.31428571428571433,0.34285714285714286,0.05714285714285715,0.0,4.794203956510538,f,Ce,-0.337442,f,Ce,-0.337442,0.0
mp-862664,Rb2 Zr2 O5,-531.82963193,8.0,40.0,32.0,21.555555555555557,15.061728395061728,8.0,4.0,87.0,83.0,59.0,31.11111111111111,87.0,15.9994,91.224,75.22460000000001,48.153400000000005,35.72666666666666,15.9994,54.8,2128.0,2073.2,572.7688888888889,691.2138271604939,54.8,1.0,16.0,15.0,10.0,6.666666666666667,16.0,2.0,5.0,3.0,3.3333333333333335,1.4814814814814816,2.0,66.0,220.0,154.0,124.44444444444444,64.93827160493828,66.0,0.82,3.44,2.62,2.388888888888889,1.1679012345679012,3.44,1.0,2.0,1.0,1.7777777777777777,0.34567901234567905,2.0,0.0,4.0,4.0,2.2222222222222223,1.9753086419753088,4.0,0.0,2.0,2.0,0.4444444444444444,0.691358024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.444444444444445,1.728395061728395,6.0,0.0,1.0,1.0,0.2222222222222222,0.345679012345679,0.0,0.0,2.0,2.0,1.1111111111111112,0.9876543209876544,2.0,0.0,8.0,8.0,1.7777777777777777,2.765432098765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.111111111111111,2.17283950617284,2.0,9.105,90.7225,81.61749999999999,30.373333333333335,26.821851851851854,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,100.66666666666667,98.51851851851852,12.0,3,0.6382847385042254,0.5783142070438002,0.5578126955913372,0.5558152545684256,0.5555672053006344,1.7777777777777777,2.2222222222222223,0.4444444444444444,0.0,0.39999999999999997,0.5,0.09999999999999999,0.0,0.0,4.90749823685135,p,O,-0.338381,s,Zr,-0.162391,0.17598999999999998
mp-725,Rh2 O4,-742.99282002,8.0,45.0,37.0,20.333333333333332,16.444444444444443,8.0,59.0,87.0,28.0,77.66666666666667,12.444444444444443,87.0,15.9994,102.9055,86.90610000000001,44.9681,38.62493333333333,15.9994,54.8,2237.0,2182.2,782.1999999999999,969.8666666666668,54.8,9.0,16.0,7.0,13.666666666666666,3.111111111111111,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,142.0,76.0,91.33333333333333,33.77777777777778,66.0,2.28,3.44,1.1600000000000001,3.0533333333333332,0.5155555555555557,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3.0,7.0,1.3333333333333333,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,9.105,13.64,4.535,10.616666666666667,2.0155555555555558,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.0,94.66666666666667,12.0,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,1.6666666666666667,2.6666666666666665,2.6666666666666665,0.0,0.2380952380952381,0.38095238095238093,0.38095238095238093,0.0,0.3333333333333333,6.251863430637978,d,Rh,-0.239422,d,Rh,-0.239422,0.0
