bulk_id,bulk_symbols,y_relaxed,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,transition metal fraction,band center,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO
mp-17853,Y6 Ga6 O18,-880.21206995,8.0,39.0,31.0,18.8,12.959999999999999,8.0,12.0,87.0,75.0,69.4,22.959999999999997,87.0,15.9994,88.90585,72.90645,41.32541,30.391211999999996,15.9994,54.8,1799.0,1744.2,453.26199999999994,538.2951999999999,54.8,3.0,16.0,13.0,12.8,3.92,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,190.0,124.0,102.0,43.2,66.0,1.22,3.44,2.2199999999999998,2.67,0.9239999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6,1.6800000000000002,4.0,0.0,10.0,10.0,2.2,3.1199999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0,6.8,2.4799999999999995,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,0.0,9.0,9.0,1.8,2.8800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.0,2.4,2.0,9.105,32.365,23.26,15.707500000000001,7.923,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,58.8,56.16,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,2.0,2.6,2.2,0.0,0.29411764705882354,0.3823529411764706,0.3235294117647059,0.0,0.0,5.3552948492931804,p,O,-0.338381,s,Ga,-0.328019,0.010361999999999982
mp-1176491,Mg6 Sn6 O18,-624.03190324,8.0,50.0,42.0,17.2,13.12,8.0,68.0,87.0,19.0,81.8,6.24,87.0,15.9994,118.71,102.7106,38.202639999999995,32.202943999999995,15.9994,54.8,923.0,868.2,318.496,316.4352,54.8,2.0,16.0,14.0,12.8,4.319999999999999,16.0,2.0,5.0,3.0,2.8,0.9599999999999999,2.0,66.0,141.0,75.0,95.6,35.519999999999996,66.0,1.31,3.44,2.13,2.7180000000000004,0.8664,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,6.8,2.88,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,9.105,33.285,24.179999999999996,16.697999999999997,9.1116,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,74.2,74.64,12.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,2.0,2.8,2.0,0.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.0,0.0,5.863216612400965,p,O,-0.338381,p,O,-0.338381,0.0
mvc-15159,Mg4 Co4 O8,-565.61595892,8.0,27.0,19.0,13.75,6.625,8.0,58.0,87.0,29.0,75.0,12.0,87.0,15.9994,58.933195,42.933794999999996,28.80924875,15.061973124999998,15.9994,54.8,1768.0,1713.2,700.15,645.3499999999999,54.8,2.0,16.0,14.0,10.75,5.25,16.0,2.0,4.0,2.0,2.75,0.75,2.0,66.0,141.0,75.0,99.75,33.75,66.0,1.31,3.44,2.13,2.5175,0.9225,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,1.75,2.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,5.75,1.875,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.75,0.875,2.0,9.105,22.89,13.785,12.83625,5.026875,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3871178,0.5806767,0.0,12.0,194.0,182.0,103.0,91.0,12.0,3,0.6123724356957945,0.538608672507971,0.5060993646249713,0.5011086692289443,0.5000975705253322,2.0,2.0,1.75,0.0,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.0,0.25,5.519683881123635,d,Co,-0.322368,d,Co,-0.322368,0.0
mp-23195,Bi8 O12,-624.85902961,8.0,83.0,75.0,38.0,36.0,8.0,86.0,87.0,1.0,86.6,0.48000000000000115,87.0,15.9994,208.9804,192.981,93.1918,92.63088,15.9994,54.8,544.4,489.59999999999997,250.63999999999996,235.00799999999998,54.8,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,2.0,6.0,4.0,3.6,1.9200000000000004,2.0,66.0,148.0,82.0,98.8,39.36,66.0,2.02,3.44,1.42,2.872,0.6816,3.44,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,14.0,14.0,5.6,6.719999999999999,0.0,6.0,29.0,23.0,15.2,11.040000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,9.105,32.95,23.845000000000002,18.643,11.445600000000002,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,12.0,2,0.7211102550927979,0.6542132620377179,0.6150303314869644,0.6048951994087753,0.6010324601930125,2.0,3.6,4.0,5.6,0.13157894736842105,0.2368421052631579,0.2631578947368421,0.3684210526315789,0.0,5.91840320230976,p,O,-0.338381,p,Bi,-0.180198,0.158183
TlBiO4-rutile,Tl1 Bi1 O4,-333.34890526,8.0,83.0,75.0,32.666666666666664,32.888888888888886,8.0,76.0,87.0,11.0,85.0,3.0,87.0,15.9994,208.9804,192.981,79.56021666666666,84.74775555555556,15.9994,54.8,577.0,522.2,223.43333333333337,224.84444444444443,54.8,13.0,16.0,3.0,15.333333333333334,0.8888888888888887,16.0,2.0,6.0,4.0,3.3333333333333335,1.777777777777778,2.0,66.0,148.0,82.0,92.83333333333333,35.77777777777778,66.0,1.62,3.44,1.8199999999999998,2.9,0.7200000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,3.3333333333333335,0.8888888888888888,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,6.0,29.0,23.0,13.333333333333334,9.777777777777779,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.6666666666666665,0.8888888888888888,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.6666666666666665,0.8888888888888888,2.0,9.105,32.95,23.845000000000002,16.046666666666667,9.255555555555555,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,42.333333333333336,50.555555555555564,12.0,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,2.0,3.3333333333333335,3.3333333333333335,4.666666666666667,0.15,0.25,0.25,0.35000000000000003,0.0,5.8947461921876005,p,O,-0.338381,p,O,-0.338381,0.0
mp-1180312,Mg16 O16,-232.97560239,8.0,12.0,4.0,10.0,2.0,8.0,68.0,87.0,19.0,77.5,9.5,68.0,15.9994,24.305,8.3056,20.1522,4.1528,15.9994,54.8,923.0,868.2,488.9,434.1,54.8,2.0,16.0,14.0,9.0,7.0,2.0,2.0,3.0,1.0,2.5,0.5,2.0,66.0,141.0,75.0,103.5,37.5,66.0,1.31,3.44,2.13,2.375,1.065,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,9.105,22.89,13.785,15.9975,6.8925,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,103.0,91.0,12.0,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,2.0,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,5.368947697209989,p,O,-0.338381,s,Mg,-0.175427,0.162954
mp-996971,Cu1 Pd1 O2,-327.87237999,8.0,46.0,38.0,22.75,14.75,8.0,62.0,87.0,25.0,75.0,12.0,87.0,15.9994,106.42,90.42060000000001,50.4912,34.4918,15.9994,54.8,1828.05,1773.25,823.8549999999999,769.0550000000001,54.8,10.0,16.0,6.0,13.25,2.75,16.0,2.0,5.0,3.0,3.25,1.25,2.0,66.0,139.0,73.0,100.75,34.75,66.0,1.9,3.44,1.54,2.745,0.695,3.44,0.0,2.0,2.0,1.25,0.75,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.25,2.25,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.25,0.75,2.0,9.105,14.41,5.305,10.9225,1.8175,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,3,0.6123724356957945,0.538608672507971,0.5060993646249713,0.5011086692289443,0.5000975705253322,1.25,2.0,5.0,0.0,0.15151515151515152,0.24242424242424243,0.6060606060606061,0.0,0.5,5.800288901215869,d,Pd,-0.160771,d,Pd,-0.160771,0.0
TiWO4-rutile,Ti1 W1 O4,-758.85732532,8.0,74.0,66.0,21.333333333333332,17.77777777777778,8.0,43.0,87.0,44.0,73.66666666666667,17.777777777777775,87.0,15.9994,183.84,167.8406,49.284099999999995,44.85196666666667,15.9994,54.8,3695.0,3640.2,975.8666666666667,1228.0888888888887,54.8,4.0,16.0,12.0,12.333333333333334,4.888888888888888,16.0,2.0,6.0,4.0,3.0,1.3333333333333333,2.0,66.0,162.0,96.0,97.66666666666667,42.22222222222222,66.0,1.54,3.44,1.9,2.9433333333333334,0.6622222222222222,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,4.0,4.0,1.0,1.3333333333333333,0.0,0.0,14.0,14.0,2.3333333333333335,3.8888888888888893,0.0,4.0,20.0,16.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.3333333333333335,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.6666666666666665,2.2222222222222223,2.0,9.105,16.69,7.585000000000001,11.526666666666666,3.2288888888888887,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,3.75555555555e-06,6.25925925925e-06,0.0,12.0,229.0,217.0,78.5,88.66666666666667,12.0,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,2.0,2.6666666666666665,1.0,2.3333333333333335,0.25,0.3333333333333333,0.125,0.2916666666666667,0.3333333333333333,6.051009128376258,d,W,-0.220603,d,W,-0.220603,0.0
mp-19232,K8 Cr4 O16,-295.96796834,8.0,24.0,16.0,13.428571428571429,6.204081632653062,8.0,3.0,87.0,84.0,57.57142857142857,33.632653061224495,87.0,15.9994,51.9961,35.9967,27.74147142857143,13.419510204081632,15.9994,54.8,2180.0,2125.2,438.8942857142857,497.458775510204,54.8,1.0,16.0,15.0,10.285714285714286,6.530612244897959,16.0,2.0,4.0,2.0,2.857142857142857,0.979591836734694,2.0,66.0,203.0,137.0,115.57142857142857,56.6530612244898,66.0,0.82,3.44,2.62,2.437142857142857,1.1461224489795918,3.44,1.0,2.0,1.0,1.5714285714285714,0.489795918367347,2.0,0.0,4.0,4.0,2.2857142857142856,1.959183673469388,4.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.571428571428571,2.0408163265306123,6.0,0.0,1.0,1.0,0.42857142857142855,0.4897959183673469,0.0,0.0,2.0,2.0,1.1428571428571428,0.979591836734694,2.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.2857142857142856,1.0612244897959182,2.0,9.105,73.1066666667,64.00166666669999,27.689047619057142,25.952925170081635,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,105.0,106.28571428571429,12.0,3,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,1.5714285714285714,2.2857142857142856,0.7142857142857143,0.0,0.34375,0.5,0.15625,0.0,0.14285714285714285,4.926399660469672,p,O,-0.338381,s,Cr,-0.150445,0.187936
AgTeO4-rutile,Ag1 Te1 O4,-453.9503842,8.0,52.0,44.0,21.833333333333332,18.444444444444443,8.0,65.0,90.0,25.0,83.83333333333333,6.277777777777781,87.0,15.9994,127.6,111.6006,49.91096666666667,45.21542222222222,15.9994,54.8,1234.93,1180.13,362.79833333333335,410.6644444444444,54.8,11.0,16.0,5.0,15.166666666666666,1.3888888888888893,16.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,66.0,145.0,79.0,91.16666666666667,33.55555555555556,66.0,1.93,3.44,1.51,2.965,0.6333333333333333,3.44,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,4.0,4.0,3.3333333333333335,1.111111111111111,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0,8.5,3.3333333333333335,6.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,2.0,2.0,1.6666666666666667,0.5555555555555555,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,9.105,34.7633333333,25.658333333299996,14.58555555555,7.307407407399999,9.105,0.0,0.464,0.464,0.07733333333333334,0.12888888888888891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,70.83333333333333,78.44444444444444,12.0,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,1.8333333333333333,3.3333333333333335,3.3333333333333335,0.0,0.2156862745098039,0.39215686274509803,0.39215686274509803,0.0,0.16666666666666666,6.5473864805859066,d,Ag,-0.298706,d,Ag,-0.298706,0.0
