y_relaxed,mp_volume,mp_formation_energy_per_atom,mp_band_gap,mp_efermi,MagpieData mean NUnfilled,MagpieData range NUnfilled,MagpieData std_dev NUnfilled,MagpieData mean ElectronAffinity,MagpieData range ElectronAffinity,MagpieData std_dev ElectronAffinity,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData std_dev Electronegativity,DemlData mean heat_fusion,DemlData std_dev heat_fusion,DemlData mean boiling_point,DemlData std_dev boiling_point,DemlData mean GGAU_Etot,DemlData std_dev GGAU_Etot,DemlData mean FERE correction,DemlData std_dev FERE correction,PymatgenData mean row,PymatgenData std_dev row,PymatgenData mean block,PymatgenData std_dev block,transition metal fraction,band center,density,vpa,packing fraction
-464.40431617,137.09116040744064,-2.021555188333332,0.0,4.62219435,3.3333333333333335,4.0,2.8284271247461903,117.96666666666665,69.1,48.86107857999043,3.013333333333333,1.2799999999999998,0.9050966799187806,12148.0,25298.866417292298,1697.4666666666665,3409.527477525295,-5.7860000000000005,1.6885709934734754,0.07513333333333379,0.32852181053926993,3.0,2.1213203435596424,2.3333333333333335,0.7071067811865476,0.3333333333333333,6.062247965879599,6.198718435217547,11.42426336728672,0.4253989203447815
-694.88463148,1050.033369910741,-2.494557517352938,4.6158,-0.3945823,3.0588235294117645,4.0,2.458750606599731,118.39999999999999,98.5,53.71421430293678,3.0341176470588236,1.8299999999999998,0.9759959947756864,7592.0,19407.940783466584,1420.6117647058825,3274.906535793322,-5.680452941176471,2.8391917677555543,0.1959864705882359,0.40440916705170527,2.823529411764706,2.2258808266718715,2.176470588235294,0.5640760748177661,0.17647058823529413,6.201081317393192,5.044562919840981,15.44166720456972,0.22147025690621325
-494.91228098,133.32989608560274,-1.99196457625,0.0,3.03882728,1.25,2.0,1.0488088481701516,103.5875,127.05,66.49415575823187,2.4175,2.55,1.3699744523165385,5386.0,6918.745088525809,1380.85,1699.6157436314834,-3.4850000000000003,1.9042163742600262,0.26323002535376977,0.21789708922032167,3.5,2.0976176963403033,2.0,0.8944271909999159,0.25,5.109827980882897,5.800540363452371,16.666237010700335,0.8062005821343552
-216.942882,59.1512951730479,-0.745885760625001,0.0,2.71141489,1.25,2.0,1.0488088481701516,100.1,141.0,74.02842697234624,2.695,1.54,0.9434193129250642,3958.5,6760.880978097455,1002.57,1628.7951958180624,-3.075,2.5442248328321933,0.17095092148191238,0.08918264242604595,3.5,2.0976176963403033,2.5,0.6324555320336759,0.25,6.03716852226283,8.313315940559018,14.787823793261962,0.4438232321527442
-713.02622781,423.75271332411296,-2.0074046115625,0.0,-0.16702849,3.125,3.0,2.1213203435596424,98.9625,112.1,79.26667017101198,2.82875,1.63,1.1525840533340723,2235.0,3795.7492014093873,985.25,1687.7224653360515,-4.255000000000001,1.3859292911256333,0.39125000000000015,0.3040559159102149,2.75,1.4142135623730951,2.0,0.0,0.0,5.434841563998343,4.532562745254259,13.24227229137853,0.3033109514165132
-173.74454114,41.253952671138684,-1.425738685919539,1.8736000000000002,0.65267651,1.3333333333333333,1.0,0.7071067811865476,82.2,88.2,62.36681810065349,1.7666666666666666,2.51,1.7748380207782342,1807.3333333333333,1681.49992566161,800.7333333333332,753.6344073886222,-2.4833333333333334,2.658721497261419,0.1873115848182755,0.045277901779656675,2.6666666666666665,0.7071067811865476,1.3333333333333333,0.7071067811865476,0.0,3.935328218270046,2.494753648201913,13.751317557046228,1.2062559927179162
-280.96522131,272.5731583700253,-2.155440051818181,1.4784000000000002,1.5107732,3.1818181818181817,5.0,2.9677756498246812,121.43636363636364,90.4,49.85468113195822,3.0790909090909087,1.81,0.9398956570565938,8597.818181818182,21361.340537018306,1459.7818181818182,3505.7060678051935,-5.9419818181818185,2.7610765548827287,0.07356431013850181,0.39443567408218927,2.909090909090909,2.3858557568108956,2.272727272727273,0.6793662204867574,0.2727272727272727,6.39729303046998,6.660071677651586,12.38968901681933,0.2799704402469211
-466.4178544,143.83052778680639,-1.5461592956249999,0.0,4.97880079,6.5,6.0,4.242640687119285,66.075,99.9,70.6399674405361,1.8575,2.11,1.491995308303615,15805.5,14692.264699494084,3534.05,3246.892917852389,-6.1975,1.138441917710341,0.6014707804165154,0.35022601046023555,4.25,2.1213203435596424,2.75,0.7071067811865476,0.0,4.267730385270569,6.688575565289361,17.978815973350795,0.6632857820905
-513.30115434,144.63734978159653,-1.8707510703906252,2.868999999999999,1.32942344,1.6666666666666667,2.0,1.0540925533894598,126.5,195.0,84.72602905837142,2.936666666666667,2.13,1.1267850036472993,2498.0,4747.178530453642,446.9666666666667,732.4392928958533,-4.163333333333333,1.833242421988368,0.23333333333333364,0.2532017201977725,2.5,1.0801234497346432,1.8333333333333333,0.5270462766947298,0.0,6.460971489142616,3.8405858858522635,12.05311248179971,0.3336193316211312
-859.1337994,243.81774476156878,-1.786253262480842,1.466799999999999,0.41113343,2.9444444444444446,3.0,1.962307149925656,99.96111111111111,141.0,90.59882779265192,2.832777777777778,1.89,1.2521443943953046,4203.555555555556,8393.412865602855,868.1888888888889,1604.7879737769786,-5.483333333333333,1.3786611235203858,0.1559787186455256,0.1650215516714765,2.7222222222222223,1.5140038943832979,2.2777777777777777,0.6496752435470525,0.2777777777777778,5.999236418241899,3.986863177806663,13.545430264531598,0.33261564468102395
