sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
16375,-531.04377012,SbPdO4-rutile,Sb1Pd1O4,"(1, 0, 1)",SbPdO4_SbPdO4-rutile_0203zwHKNE_LVlJMgroj6,4278.0,H,1
41073,-135.37888628,mp-8086,Na4Zn4O6,"(1, 0, 0)",509358681_Na2Zn2O3_mp-8086_cXdywqlyXb_7SBMkND5n7,41990.0,H,1
36355,-538.65212121,mp-1183298,Ba1Re1O3,"(1, 1, 0)",BaReO3_mp-1183298_7gxFA8dJ78_RljdZOsaNH,11665.0,H,1
7924,-387.0218548,FePdO4-rutile,Fe1Pd1O4,"(2, 1, 3)",FePdO4_FePdO4-rutile_iN8arfUdiM_WkBv1zOAbP,15260.0,H,1
16275,-193.57204912,mp-2133,Zn2O2,"(3, -1, 0)",ZnO_mp-2133_ExYOY7Nozc_RkAckjNybg,30506.0,H,1
70560,-318.34844735,mp-675755,Ti2Cu6O8,"(0, 1, 2)",TiCu3O4_mp-675755_hd0uRCpfEB_RQ3KfnX91u,80554.0,H,1
2511,-815.79960101,mp-18800,Cr16Si8O32,"(0, 1, 0)",Cr2SiO4_mp-18800_gb72dtcMK2_ddP9NG1u7h,17816.0,H,1
12793,-654.6086745,mp-1020631,Zn6Ge6O18,"(1, 1, 0)",ZnGeO3_mp-1020631_V0Dy8NbCfJ_olA0lWf1nK,16206.0,H,1
6871,-507.21033687,mp-1279742,Fe2O2,"(1, 1, 0)",FeO_mp-1279742_k7kqQO0vO1_LE8MjozLu5,29770.0,H,1
17401,-417.04405194,mp-28669,Mn2Se4O12,"(1, 0, 0)",Mn-SeO3-2_mp-28669_f6U7NiTZSK_sXGzCEvNiY,19915.0,H,1
75688,-910.72215074,mp-1217946,Ta6Fe6O24,"(0, 1, 0)",TaFeO4_mp-1217946_aQXqtEInev_kJ7CqABgy6,69996.0,H,1
33448,-405.81551659,mp-777514,Y8O12,"(0, 1, 0)",Y2O3_mp-777514_nuEVkSNBFK_u1SzX9tQNL,27298.0,H,1
76429,-799.56189858,mp-8710,Ca6Pt9O24,"(1, 0, -2)",Ca2Pt3O8_mp-8710_W9GHzPlfrE_PAELwcvpoW,70660.0,H,1
7918,-501.66829966,mp-754639,Fe4Se4O16,"(0, 1, 0)",FeSeO4_mp-754639_AoRHqDAn1p_cN3tWSSL3Z,13083.0,H,1
45320,-478.60546739,mp-1218326,Sr1Cr1O2,"(3, 3, 2)",69019397_SrCrO2_mp-1218326_2RjcnpkeiB_xS2xYkmDpP,43157.0,H,1
34438,-283.9754845,mp-19212,Rb8Mo4O16,"(0, 0, 1)",Rb2MoO4_mp-19212_HofS2EfSg6_eSYqm3vqAe,28714.0,H,1
