sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
39826,-341.90198067,mp-23426,Al8Bi4O18,"(0, 1, 0)",Al4Bi2O9_mp-23426_f02RL681ye_deHxYtnIbQ,40775.0,H,1
42040,-537.52670716,mp-1079775,K2Cr2O4,"(3, -1, 0)",90423983534_KCrO2_mp-1079775_lERtPQvFuR_EcX1UxOlU7,44080.0,H,1
69316,-755.72068614,mp-1542959,Zn6Mo12O24,"(1, 0, 1)",Zn-MoO2-2_mp-1542959_Gy2tjNrj7T_CG4qPwwoOh,75856.0,H,1
43794,-568.64501741,mp-2311,Nb3O3,"(2, 1, 1)",69019397_NbO_mp-2311_yWNfwZtc3u_0wHerNhCmJ,40953.0,H,1
84085,-427.94176063,mp-14495,Li12Zn2O8,"(1, 0, 1)",Li6ZnO4_mp-14495_hhUpZI2xgX_EIA00gl74v,85196.0,H,1
33754,-661.74952477,mp-9631,Al2Ag2O4,"(3, 1, 0)",AlAgO2_mp-9631_8hdBhxnUrO_gRwqafUrh6,80286.0,H,1
31685,-550.5468271,mp-8409,K3Y3O6,"(1, 0, -2)",KYO2_mp-8409_IZW8mdn31E_LLQgtPqdQ8,33218.0,H,1
34184,-620.19661039,mp-770870,Mn4Tl4O12,"(1, 1, 1)",MnTlO3_mp-770870_WUeKk2efvU_l1q2KeUxaS,79156.0,H,1
78192,-217.69604856,mp-1441,Cs2O4,"(1, 1, 0)",CsO2_mp-1441_HyitGaNLVV_4kkl7cEqXY,69520.0,H,1
1078,-795.3718976,mp-766437,Mg2Ti10O20,"(1, 1, 0)",MgTi5O10_mp-766437_lptYGsurEU_OHcr5sA3Fa,15843.0,H,1
13866,-456.49625903,mp-1286297,Mg6Fe4O10,"(1, 1, -1)",Mg3Fe2O5_mp-1286297_jtEYTmPtdq_ibvyVTObwU,40002.0,H,1
23853,-383.84805905,mvc-154,Zn1Mo4O8,"(1, 1, 2)",Zn-MoO2-4_mvc-154_y0UBDr5RfK_xckn9FprIt,3034.0,H,1
29920,-174.86426076,mp-755072,Na4O2,"(1, 0, 1)",Na2O_mp-755072_EqkzhXmiqY_X2O8V2QRnz,11188.0,H,1
44037,-619.49764005,mp-1218065,Ta12O2,"(1, 0, 1)",904239835_Ta6O_mp-1218065_q1pOExvdxx_Bo4Ornc2ef,41957.0,H,1
22779,-730.4729943,mvc-12231,Mg2V8O16,"(0, 1, 0)",MgV4O8_mvc-12231_Xd2kWUEA6R_fKknsWqffW,10482.0,H,1
30785,-289.57546127,mp-997000,Ag2Hg2O4,"(1, 0, -2)",AgHgO2_mp-997000_zacGJOOR1r_EyNpdvlho4,3374.0,H,1
30882,-387.77328987,mp-557997,Ca4Se4O12,"(1, 1, -1)",CaSeO3_mp-557997_cDrYabHk6j_YSHOGxv77Q,81195.0,H,1
39652,-429.57581463,mp-19086,Ba3Co3O6,"(2, -1, 2)",BaCoO2_mp-19086_HNioewzc68_WGpn6qFF4F,14543.0,H,1
10099,-788.44674139,mp-23426,Al8Bi4O18,"(1, 1, 0)",Al4Bi2O9_mp-23426_afmjrePQXe_WCrr6oNO3w,81198.0,H,1
73106,-378.71666162,mp-1095546,Re4O8,"(0, 2, 1)",ReO2_mp-1095546_aHHYZQZbRH_RNpDP0VmIm,71980.0,H,1
84204,-487.06132952,mvc-8403,Ge8Mo4O24,"(0, 1, 0)",Ge2MoO6_mvc-8403_vTXFEvrbOV_UOh95zVwFJ,,H,1
7983,-549.87423309,mp-754944,Ta4Fe4O16,"(0, 2, 1)",TaFeO4_mp-754944_CpUt1zjn6k_kEydUAoPqE,29443.0,H,1
42931,-817.49435801,mp-1075911,Rb1Nb1O3,"(3, 3, 1)",51024953_RbNbO3_mp-1075911_FdPdg2q1DA_IYjBLwmPZK,80657.0,H,1
26332,-337.58251076,mp-1208174,Tl4V6O16,"(1, 0, 0)",Tl2V3O8_mp-1208174_uxD24l7VBK_g24h7D9Emi,14692.0,H,1
11218,-347.28315176,mp-752749,Na2Co6O8,"(0, 1, 0)",NaCo3O4_mp-752749_EO2KjJnZ9F_woQsbcc0Pp,26804.0,H,1
43165,-694.91801574,mp-1238961,Ta2O5,"(1, 3, -3)",90423983534_Ta2O5_mp-1238961_xC5ZsxTggH_ETYs9r0OOd,44847.0,H,1
6142,-538.2351719,mp-1215716,Zn2Ni8O10,"(0, 1, 2)",ZnNi4O5_mp-1215716_zyelCUCkLM_ZCvDDaB4Rd,,H,1
84088,-731.45329909,mp-756686,Al4Ga4O12,"(1, 2, 1)",AlGaO3_mp-756686_pNpiZ0evgT_0zUZFvn0gz,85110.0,H,1
18866,-218.36879679,mp-12867,Sr4Sn4O12,"(1, 0, 0)",SrSnO3_mp-12867_1jGbPPW3uf_59KaVzwPiM,4181.0,H,1
26787,-251.47286867,mp-14437,Rb3Y3O6,"(1, 1, 0)",RbYO2_mp-14437_h8v1xB1i3f_xd7jNyhyAg,39458.0,H,1
12779,-856.11391622,mp-18928,Mn8Si4O16,"(1, 0, 0)",Mn2SiO4_mp-18928_W1jTw1ANJh_t4gUMn7tOL,23187.0,H,1
13514,-435.4132913,mp-31488,Li24Nb8O32,"(1, 1, 0)",Li3NbO4_mp-31488_hFqvUrwYhg_NkFGxFhR5o,9207.0,H,1
5263,-260.7990782,mp-18224,Rb12Ge4O14,"(0, 1, 0)",Rb6Ge2O7_mp-18224_g8CFeBeTyD_I11nOEjtzr,26387.0,H,1
27902,-335.88254051,mp-20223,Mn8Ge4O16,"(1, 0, 0)",Mn2GeO4_mp-20223_wn7kkOpvCA_qxzZBZqslx,38726.0,H,1
78084,-735.24498663,mp-1225019,Fe15Ni3O24,"(1, 0, 1)",Fe5NiO8_mp-1225019_DzvM8fDgCr_rDWgiSFjqo,,H,1
8656,-333.51600034,mp-1205049,Si4Ag20O16,"(0, 0, 1)",SiAg5O4_mp-1205049_adHOKl4nx8_U8XughOBdx,10445.0,H,1
71097,-458.40924169,mp-560165,Cu4Bi8O16,"(2, 2, 3)",Cu-BiO2-2_mp-560165_BNBePBy1Dx_dQ0hKpekO7,78663.0,H,1
31488,-349.90282026,mp-8086,Na4Zn4O6,"(2, 1, -1)",Na2Zn2O3_mp-8086_iWkzvIADRh_riuO57Rv7y,79371.0,H,1
72995,-1425.42649568,mp-849326,Ta24Ag8O64,"(0, 0, 1)",Ta3AgO8_mp-849326_EeA0kxMPvA_gItwfNCQgw,72714.0,H,1
20318,-778.28073625,mp-775757,Hf8O16,"(0, 1, 0)",HfO2_mp-775757_JIjHLL7Dtm_A6y66tQhdm,9088.0,H,1
