sid,y_relaxed,bulk_id,bulk_symbols,miller_index,traj_id,slab_sid,ads_symbols,nads
12514,-826.91771309,mp-770731,Li4Zr8O16,"(1, 0, 0)",LiZr2O4_mp-770731_clean_yD7m7NyHOH,,,0
7687,-641.52613463,mp-4156,Li8Zr4O12,"(1, 0, 1)",Li2ZrO3_mp-4156_clean_d2i1HrphZx,,,0
42918,-124.29160398,mp-1186816,Pt2Rh2O5,"(1, 0, 0)",904239835_Pt2Rh2O5_mp-1186816_clean_eyY4c96tZ9,,,0
7432,-399.48005279,mp-20798,Mn6Ge6O18,"(1, 0, 1)",MnGeO3_mp-20798_clean_pfGV1zrfcc,,,0
3482,-444.29027951,mp-768539,Al4Tl4O12,"(0, 1, 0)",AlTlO3_mp-768539_clean_jDqtTZkx71,,,0
16857,-624.21217774,mp-11737,Li8Si2O8,"(1, 0, 1)",Li4SiO4_mp-11737_clean_IXCnecjkrE,,,0
85366,-254.06141444,mp-13675,Cd2Pd6O8,"(1, 0, 0)",CdPd3O4_mp-13675_clean_VHjPQV4VkH,,,0
33641,-580.58105052,mp-3163,Ba1Sn1O3,"(2, 2, 1)",BaSnO3_mp-3163_clean_g9yTnsn1kI,,,0
85872,-411.37971507,mp-20496,Ga8Pb4O16,"(1, 0, 1)",Ga2PbO4_mp-20496_clean_ycvjmazOxi,,,0
68940,-376.82917319,mp-28996,Ag16Bi8O20,"(0, 0, 1)",Ag4Bi2O5_mp-28996_clean_1VgHq1ugXS,,,0
13063,-283.90506601,mp-1103369,Cu2W2O8,"(0, 1, 1)",CuWO4_mp-1103369_clean_fYsyaGiUO8,,,0
39688,-483.14367547,mp-540969,V4Zn2O12,"(1, 1, 0)",V2ZnO6_mp-540969_clean_AZajWkwbpf,,,0
38429,-874.4013594,mp-770372,Ce4Hf4O16,"(1, 0, 1)",CeHfO4_mp-770372_clean_eq6mOUp6Pt,,,0
80140,-516.44194617,mp-1187190,Sr1Pd1O3,"(1, 1, 1)",SrPdO3_mp-1187190_clean_iG9TPlohWE,,,0
10191,-571.40564927,mvc-660,Sn2W4O16,"(1, 1, -1)",Sn-WO4-2_mvc-660_clean_70KFpYWTyY,,,0
5803,-565.85022834,mp-8189,Li6Re6O18,"(1, 1, 0)",LiReO3_mp-8189_clean_B36NXk9dg8,,,0
69677,-463.48303616,mvc-14096,Cu6Ge8O24,"(1, 1, 0)",Cu3-GeO3-4_mvc-14096_clean_ZhmpqPyyKx,,,0
18663,-840.76312577,mp-754134,Hf2Zr2O8,"(1, 1, 0)",HfZrO4_mp-754134_clean_chL8raonyR,,,0
82058,-131.22131749,mp-27716,K4Tl4O4,"(1, 1, 0)",1008483_KTlO_mp-27716_clean_ZnMzEZ1dTp,,,0
3453,-467.23492961,mp-29524,K24Bi8O24,"(1, 0, 0)",K3BiO3_mp-29524_clean_EoIf8yrD52,,,0
7200,-142.00742576,mp-5787,Sr4Cu4O8,"(1, 3, 0)",SrCuO2_mp-5787_clean_dFcAzMIBCb,,,0
42104,-1196.16847719,mp-18793,Li2Cr2O4,"(3, 1, 1)",51024953_LiCrO2_mp-18793_clean_EiM5E2hA4a,,,0
3768,-386.85790615,mp-23080,Al1Bi1O3,"(1, 1, 1)",AlBiO3_mp-23080_clean_LPkb2qSIKN,,,0
37435,-594.48241108,mp-29799,K12Bi12O36,"(1, 1, 1)",KBiO3_mp-29799_clean_R5YUsMEoef,,,0
9554,-475.49877805,mp-4598,Sr24Pt6O36,"(1, 1, 0)",Sr4PtO6_mp-4598_clean_3jLBF6bTWG,,,0
29538,-397.20824439,mp-1183405,Ba1Zn1O3,"(2, 1, 1)",BaZnO3_mp-1183405_clean_fht2VOwHMU,,,0
81849,-648.94060282,mp-1105306,Tl4Cr4O12,"(1, 1, 1)",1024401_TlCrO3_mp-1105306_clean_k8fBabZTLS,,,0
3608,-685.98996695,mp-1080221,K1Mn16O32,"(1, 0, 0)",KMn16O32_mp-1080221_clean_cOFBBlLnpZ,,,0
85059,-603.86300254,mp-20783,Y4Fe4O12,"(1, 0, 1)",YFeO3_mp-20783_clean_dlSOKQJLIr,,,0
81774,-1076.05781729,mp-756322,Hf4Cr4O12,"(1, 0, 0)",1026124_HfCrO3_mp-756322_clean_70jWPOZYcX,,,0
33497,-214.36567532,mp-27418,K1Au1O2,"(1, 3, 3)",KAuO2_mp-27418_clean_pTk2IekO4D,,,0
16071,-469.28463794,mp-756382,Sr18W6O36,"(1, 0, 1)",Sr3WO6_mp-756382_clean_5XFRwuMM84,,,0
75391,-1480.23645954,mp-505517,Ba1Nb4O6,"(2, 0, 1)",BaNb4O6_mp-505517_clean_MFfNmHhhig,,,0
19930,-341.69106394,mp-752749,Na2Co6O8,"(0, 1, 1)",NaCo3O4_mp-752749_clean_G8NVCoWdEr,,,0
4893,-465.29421835,mp-981103,Sr3Cd1O4,"(2, 1, 0)",Sr3CdO4_mp-981103_clean_SfmaHbJhuf,,,0
847,-874.43171855,mp-31124,Y16Mo8O48,"(1, 1, -1)",Y2MoO6_mp-31124_clean_eWoEjl7GXe,,,0
80030,-587.50807982,mp-675580,Nb2Cr2O8,"(0, 1, 1)",NbCrO4_mp-675580_clean_zIGI4K3F12,,,0
44508,-460.53664219,GaAuO4-rutile,Ga1Au1O4,"(1, 1, 0)",414325470_GaAuO4_GaAuO4-rutile_clean_pJdynwSTpe,,,0
45382,-249.12951972,mp-1003314,K1Mn2O4,"(1, 2, 1)",414325470_KMn2O4_mp-1003314_clean_u2Dy92OmGe,,,0
36861,-330.86158938,mp-5966,Cd4Sn2O8,"(1, 2, 2)",Cd2SnO4_mp-5966_clean_FhaOL3DhX9,,,0
43997,-277.14993714,mp-1279484,Ni2Ag2O4,"(1, -1, -2)",90423983534_NiAgO2_mp-1279484_clean_VYrkRYh2tb,,,0
44886,-252.24027284,mp-1222275,Li1Tl1O2,"(2, 1, 0)",414325470_LiTlO2_mp-1222275_clean_5faoU8yoeO,,,0
79120,-439.68593277,mvc-8179,Mg4Sn8O20,"(1, 0, 0)",MgSn2O5_mvc-8179_clean_pnvhbDdK9B,,,0
11287,-845.71788739,mp-1237229,Re8O24,"(1, 1, 0)",ReO3_mp-1237229_clean_zWkKhpb6fN,,,0
28025,-787.47152117,mvc-3773,Y6Ni6O18,"(1, 1, 0)",YNiO3_mvc-3773_clean_VwgbeB0dhU,,,0
23440,-254.10249962,mp-996962,Li2Ag2O4,"(1, 0, 1)",LiAgO2_mp-996962_clean_jMvTHkgoYv,,,0
30864,-626.81680596,mp-554326,Zr4V8O28,"(1, 0, 0)",ZrV2O7_mp-554326_clean_o34jZyYkn4,,,0
44954,-441.3774036,mp-1186897,Rb1Rh1O3,"(3, 2, 0)",2411243514_RbRhO3_mp-1186897_clean_P8TyeHXODW,,,0
85491,-598.82088998,mp-1177862,Li4Pt2O4,"(1, 3, 0)",Li2PtO2_mp-1177862_clean_QRwF7UlZyH,,,0
10793,-217.91471639,mp-726,Se8O16,"(0, 0, 1)",SeO2_mp-726_clean_XdVGOq0gRd,,,0
18257,-543.5770929,mp-1216141,Y4Ge1O10,"(2, -1, 2)",Y4GeO10_mp-1216141_clean_u8eM2Bh0Ex,,,0
44705,-257.682594,mp-1342,Ba4O4,"(1, 1, 0)",90423983534_BaO_mp-1342_clean_TSZcIuYiNy,,,0
26730,-465.10339334,mp-19178,Co2Ag2O4,"(1, 0, 0)",CoAgO2_mp-19178_clean_qh9VFBR1gQ,,,0
33121,-247.83604934,mp-1212404,Hf4Cd4O12,"(1, 0, 0)",HfCdO3_mp-1212404_clean_eRt5EAw0MA,,,0
76365,-731.22951576,mp-758229,Ti2Cu6O8,"(1, 2, -1)",TiCu3O4_mp-758229_clean_LznUN1e20P,,,0
10363,-458.94614963,mp-18195,Lu8Si4O20,"(0, 1, 1)",Lu2SiO5_mp-18195_clean_0g8ULNv5Cg,,,0
74566,-629.58521476,mp-757152,V4Bi8O22,"(1, 1, 1)",V2Bi4O11_mp-757152_clean_1PEgNeQIxp,,,0
10207,-514.63456543,RuPtO4-rutile,Ru1Pt1O4,"(3, 0, 1)",RuPtO4_RuPtO4-rutile_clean_gWr1UaDrFi,,,0
15024,-112.50654118,mp-996966,K1Ag1O2,"(1, 3, 0)",KAgO2_mp-996966_clean_8Rh7VQfxtD,,,0
29617,-510.72858745,mp-505552,Cd16Ru16O56,"(1, 0, 0)",Cd2Ru2O7_mp-505552_clean_MqFsWGyAPi,,,0
16359,-294.30584781,mp-1180693,Li2Se4O12,"(1, 2, -1)",Li-SeO3-2_mp-1180693_clean_tUxvaTjY7H,,,0
83132,-674.17379543,mp-1224305,Hf2Ti2O8,"(2, 1, 2)",1020269_HfTiO4_mp-1224305_clean_iyjNvDBfgp,,,0
23515,-535.41000835,mp-755403,Ba8Sc8O20,"(1, 1, 1)",Ba2Sc2O5_mp-755403_clean_mQLOK0EdTP,,,0
35873,-553.43436034,CuAsO4-rutile,Cu1As1O4,"(1, -1, 0)",CuAsO4_CuAsO4-rutile_clean_aQl7tyWhJi,,,0
29809,-496.76398328,mp-756126,Mn2V10O24,"(1, 0, -1)",MnV5O12_mp-756126_clean_Ik8z6SAmGk,,,0
2680,-391.18254272,CdRuO4-rutile,Cd1Ru1O4,"(2, 1, 3)",CdRuO4_CdRuO4-rutile_clean_GHMiEWP7cw,,,0
2518,-885.94488202,mp-770210,Ca4Y8O16,"(1, 1, 1)",CaY2O4_mp-770210_clean_qs9HJfv6aI,,,0
39810,-379.62752891,mp-8208,Mg2Pt6O12,"(0, 2, 1)",Mg-PtO2-3_mp-8208_clean_RCg59lsjPO,,,0
41720,-491.63104666,NiRhO4-rutile,Ni1Rh1O4,"(1, 0, 0)",2411243514_NiRhO4_NiRhO4-rutile_clean_0vc5CdhCXM,,,0
81654,-638.01411137,mp-1176488,Mn16Hg8O32,"(1, 1, 0)",1007915_Mn2HgO4_mp-1176488_clean_jot2rhQcdK,,,0
1937,-462.32045673,mp-2133,Zn2O2,"(3, 1, 0)",ZnO_mp-2133_clean_mF63cgAbEM,,,0
79990,-397.04968798,mp-1016828,Cd1Ir1O3,"(2, 1, 1)",CdIrO3_mp-1016828_clean_O9ItBQmCDB,,,0
15599,-854.41619293,mp-1099073,Ti15Nb1O32,"(1, 0, 0)",Ti15NbO32_mp-1099073_clean_UOFVkXBAtb,,,0
