bulk_id,bulk_symbols,y_relaxed,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,ElementProperty Exceptions,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og,transition metal fraction,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,band center,density,vpa,packing_fraction,spacegroup_num,crystal_system,crystal_system_int,is_centrosymmetric,n_symmetry_ops
mp-1227338,Be6 Zn2 O8,-538.71897935,19.55176825,698.985,84.25,2.5149999999999997,2.0,2.0,1.25,0.0,5.25,0.0,1.0,0.0,0.0,1.0,9.25625,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.375,0,0,0,0.5,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0.6373774391990981,0.5642946794342502,0.5218357923239265,0.5090342055422441,0.5027468141173921,5.934234532270668,3.9705787826517676,8.17827734374598,0.4351811057321465,121.0,tetragonal,4.0,False,16.0
mp-10418,Rb4 Sb4 O8,-301.34512237,59.80665,331.46,122.75,2.4375,1.75,2.75,2.5,0.0,7.0,0.25,1.75,0.0,0.0,2.0,35.123125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.5,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0.6123724356957945,0.538608672507971,0.5060993646249713,0.5011086692289443,0.5000975705253322,5.0371670028842,4.731690104028815,20.988542512888856,0.8211766436752423,15.0,monoclinic,6.0,True,8.0
mp-759541,Ba4 Pd8 O16,-498.81326335,59.16637142857143,696.4714285714286,108.14285714285714,2.7214285714285715,1.4285714285714286,2.2857142857142856,2.857142857142857,0.0,6.571428571428571,0.0,1.1428571428571428,0.0,0.0,1.1428571428571428,18.404285714285713,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.5714285714285714,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.14285714285714285,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,3,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,5.592978164873236,6.660145073038459,14.751641330021751,0.6608171515650251,88.0,tetragonal,4.0,True,8.0
mp-5478,Tl8 Pd24 O32,-328.30625687,73.4551125,785.0437499999999,103.25,2.7475,1.25,2.125,5.0,1.75,10.125,0.0,1.625,0.0,0.0,1.625,13.32,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.5,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,3,0.6373774391990981,0.5642946794342502,0.5218357923239265,0.5090342055422441,0.5027468141173921,5.5471190703316475,8.749107409264298,13.941431784116201,0.5992224180438044,225.0,cubic,1.0,True,96.0
mp-761148,Ti18 Sn2 O40,-1024.34227609,28.983366666666665,635.6693333333334,96.63333333333334,2.820666666666667,2.0,2.7333333333333334,0.9333333333333333,0.0,5.666666666666667,0.0,1.4666666666666666,2.4,0.0,3.8666666666666667,12.1865,0.0,6.75999999999e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.6666666666666666,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3,0.7318166133366716,0.6863571462449022,0.6691091208971494,0.6670219738115729,0.6666893636083644,5.851445976351741,4.411456896883071,10.909777387338549,0.41037191487831826,12.0,monoclinic,6.0,True,8.0
mp-1252778,Al20 Co12 O48,-1091.1743545,25.185003899999998,531.4475,88.75,2.7485,2.0,2.65,1.05,0.0,5.7,0.0,2.45,0.45,0.0,2.9,11.11975,0.0,0.23227068,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.6,0,0,0.0,0.0,0.25,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,3,0.6670832032063166,0.6171005792776718,0.6016155054141484,0.6001919323281267,0.6000095197584842,5.594064961761705,4.1757979104097185,10.015016009898144,0.4127875710483678,12.0,monoclinic,6.0,True,4.0
mp-971700,Zn1 Au1 O3,-255.12061442,62.068953799999996,438.88199999999995,91.2,2.902,1.8,2.4,4.0,2.8,11.0,0.2,1.2,0.0,0.0,1.4,11.595,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,6.501114330258613,8.463478786608,12.179099927749885,0.3830549973525639,221.0,cubic,1.0,True,8.0
mp-755225,Li24 Zr3 O18,-986.02977405,16.18322666666667,405.75466666666665,106.33333333333333,1.9873333333333334,1.4666666666666666,1.6,0.13333333333333333,0.0,3.2,0.5333333333333333,0.8,0.5333333333333333,0.0,1.8666666666666667,14.038111111093334,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5333333333333333,0.0,0,0,0,0.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0.669991708074726,0.6000000000000001,0.5565397670409854,0.5429656752171642,0.5362632200235917,4.388330438711298,3.051995083634,8.805020783057923,0.9327073008982737,148.0,trigonal,3.0,True,12.0
mp-1187182,Sr1 Mg1 O3,-509.73440181,31.984640000000002,427.48,106.8,2.516,2.0,2.4,0.0,0.0,4.4,0.0,1.2,0.0,0.0,1.2,20.887,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.6,0,0,0.0,0.2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,5.427421639005485,4.070787390201769,13.047044523420539,0.772003568191142,221.0,cubic,1.0,True,48.0
mp-975384,Rb1 Bi1 O3,-292.58157104,68.48928,204.25199999999998,113.2,2.632,1.8,3.0,2.0,2.8,9.6,0.2,1.8,0.0,0.0,2.0,30.1975,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0,0.6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,5.282527554092464,7.356434062529205,15.459817117303174,0.9603375751109552,221.0,cubic,1.0,True,96.0
